Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,1118386,Игрушки,Надувной круг для моря шина 1.14 м,шт.,2,690,1050
,,,1119429,Одежда/Носки/Гольфы,Носки 1162,шт.,9,30,100
,,,107718,Напитки/Вода,Серноводская Вкусовая 0.5л,шт.,235,34.65,50
,,,104792,Напитки/Соки/Энергетик,Улькер Ассорти Мармелад 200гр,шт.,3,119,155
,,,1140,ДЛЯ КАССЫ/Прочее.,Яйцо Белое Штучно,шт.,244,7.5,10
,,,2000999844060,Для дома,Пакеты вакумные,шт.,3,130,180
,,,105781,Продукты Питания/Консервы,Маслины Без Косточки 314мл Солато,шт.,4,148.75,177
,,,98756,Напитки/Вода,Минералка Меркурий 0.5л,шт.,2,37.5,50
,,,1118394,Детские товары,Сыр творожный 69 пр 100гр,шт.,1,81.9,107
,,,1118425,Чипсы,Начос 150 гр лобстер с оливками,шт.,6,117.18,150
,,,2000999844350,Химия/Для себя,Сильвер краска для замши и нубука,шт.,3,367,445
,,,97529,Продукты Питания/Быстрое питание,Роллтон лапша по домашнему 90гр,шт.,5,47,70
,,,2000999844042,Напитки/Чай/Кисель,Протеинововое печенье сникерс 60 гр,шт.,5,190,240
,,,111026,Игрушки,Лединец большой Ассорти,шт.,8,120,220
,,,98104,Сушеные Рыба/Говядина,Суджук/Джерки курица,шт.,77,98,125
,,,1118207,Служебная группа,Эпилятор км 209,шт.,5,299,650
,,,104402,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Томатная Паста 1000гр Марва,шт.,4,200,240
,,,100837,Сладкое/Прочее/Нутелла,Нутелла 400гр,шт.,7,350,420
,,,109293,Игрушки,Кукла свет Ангел,шт.,1,1200,2200
,,,1119297,Продукты Питания/Молочка/Йогурт/Пудинг,J7 смузи клубника 0.3 мл,шт.,2,63.99,140
,,,1118494,Сладкое/Домашняя выпечка,Чайник электрический 2 л,шт.,2,835.24,1300
,,,1117324,Сладкое/Батончики/бисквиты,7 Дейз рулет лесные ягоды,шт.,4,102,130
,,,1118725,Продукты Питания/Полуфабрикаты,Долма 1 кг Зарета,шт.,2,250,385
,,,94947,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Соус чили 200гр АЗИФУД,шт.,15,55,82
,,,1118472,Электроника,Держатель 106,шт.,4,260,400
,,,2000999844024,Игрушки,Кукла принцесса стиль,шт.,1,1,485
,,,1119648,Игрушки,Кукла Стильная,шт.,4,520,785
,,,102554,Сладкое/Прочее/Милка,Плитка Милка 100гр Крема ку какао,шт.,4,103,145
,,,752,Весовые товары/Выпечка,Заварные пальчики в шоколаде  Альфа (Шнайдер),кг,2,290.5,445
,,,104830,Чипсы,Сол Джамиля Лечо 700гр,шт.,7,250,300
,,,10211,Посуда,Боржоми 0.75 л,шт.,2,119.99,190
,,,17,Фрукты/Овощи/Зелень/Овощи,Морковь,кг,127.996,20,35
,,,99341,Игрушки,Кукла принцесса большая,шт.,1,1800,3000
,,,106887,Продукты Питания/Консервы/Мясо,Сардина тихоокеан/натур 245гр Доброфлот,шт.,7,79.2,145
,,,97015,Сладкое/Печенье/Пряники,Албени раунд 320гр 8шт Улкер,шт.,2,255,316
,,,2000999843976,ДЛЯ КАССЫ/Аксессуары,АЗУ ФЗ-24,шт.,1,490,670
,,,109978,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Чечевица красная 600г Цолода,шт.,3,69.17,98
,,,1116557,Детские товары,Гуниб 0.5 л Гранат,шт.,3,78.24,105
,,,544,Весовые товары/Выпечка,Конфеты Леди ночь с Курагой зав Акконд,кг,4.94,521,635
,,,100921,Сладкое/Мармелад/Драже/Карамель/Мармелад,мармелад крутфрут озорные мишки 30гр,шт.,9,11.3,20
,,,1119283,Сладкое/Прочее/Милка,Вафли ханута 220 гр,шт.,2,220,285
,,,111308,Служебная группа,Конг Ананас Натуральный 500гр в лодочке Ихляс,шт.,2,360,445
,,,104762,Служебная группа,Тряпки стекор 3шт,шт.,7,100,170
,,,1119071,Канцтовары,Калькулятор 120,шт.,2,300,450
,,,102170,Продукты Питания/Павильное Питание,Мюсли 300гр с малиной и черникой ОГО,шт.,5,134.83,162
,,,2000999844099,Напитки/Соки,Винстон новый,шт.,9,257,280
,,,136,Весовые товары/Конфеты,Конфеты Сладкое созвучие,кг,3.08,312.31,374
,,,10014,Напитки/Кофе/Какао/Сливки/Кофе,Кофе Атоми 12.1гр,шт.,7,27,38
,,,1119508,Для дома/Салфетки,Тряпки 3 шт зиг заг,шт.,9,74,117
,,,2000999844054,Жевачка,Лапка десерт 24 гр,шт.,11,13,30
,,,95679,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Батончик Кит кат чанки 40гр,шт.,24,41.6666666666667,68
,,,106794,Химия/Бытовая химия/Порошки,Порошок Чайка 400гр северное сияние,шт.,4,45,68
,,,1117193,Сладкое/Шоколадные плитки/пасты,Кофе напиток 0.235 гр,шт.,41,71.67,100
,,,2000999844311,Детские товары,Силиноковая ложка,шт.,4,300,378
,,,1118694,Напитки/Соки,Зубная щетка колгейт,шт.,1,70,100
,,,1118961,Напитки/Чай/Кисель,Чай муслим 200 гр расыпной,шт.,2,200,240
,,,2000999844200,Детские товары,Шампунь-бальзам мое солнышко,шт.,3,187,245
,,,1117137,Напитки/Кофе/Какао/Сливки,Простаквашино экскимо,шт.,160,43,65
,,,1119259,Кошачьи товары,Лоток для кошек,шт.,1,580,685
,,,2000999844297,Детские товары,Соска пустышка,шт.,15,150,187
,,,590,Весовые товары/Мясное,Башаров Колбаса Горская ДП,кг,2.519,455,575
,,,1118703,Сладкое/Шоколадные плитки/пасты,Плитки 100гр RITTER SPORT  лесной орех,шт.,2,170,210
,,,106891,Продукты Питания/Консервы/Мясо,Шпроты в масле Кас Кильки 160г (Рыб Деревня),шт.,7,114.12,148
,,,109946,яя Подарки,Салфетки Влажные Ловулар 96шт 429762,шт.,2,132,180
,,,102977,Сладкое/Домашняя выпечка,Торт Птичник Азбука Вкуса,шт.,5,365,432
,,,16,Фрукты/Овощи/Зелень/Овощи,Капуста,кг,49.3630000000001,17.0731707317073,45
,,,98431,Сладкое/Прочее,Анчоус Круиз 20 гр,шт.,24,23.5,35
,,,1119776,Весовые товары/Выпечка,Тарт ягодный Танзила,шт.,1,1350,
,,,1115657,Напитки/Соки,Сельдь По царски с дымом 400гр,шт.,4,257,309
,,,1116058,Продукты Питания/Консервы/Мясо,Икра минтая 120 гр Балтийский берег,шт.,1,102,140
,,,102622,Сладкое/Мармелад/Драже/Карамель,Жевательная конфета Бабл Хед,шт.,29,23.78,35
,,,1012,Весовые товары/Драже,Воздушные челночки Арма,кг,0.826,590,695
,,,98815,Электроника/Гаджеты,Наушники M1,шт.,2,180,300
,,,97452,Для дома/Салфетки,Бумажные салфетки 100шт Папиа в коробке,шт.,1,99.9,127
,,,106563,Продукты Питания/Молочка/Сметана/Творог,Творог классичечкий Савушкин 180гр 5пр,шт.,1,96,122
,,,430,Весовые товары/Молочка весовая,Масло  Вкусная сказка  красное дор,кг,1.126,480,576
,,,97421,Служебная группа,Дрова Фиолетовые большие,шт.,1,250,317
,,,98977,Напитки/Вода,Минералка Ессентуки 17 0.45л стекло,шт.,20,86.85,112
,,,1117175,Чипсы,Чипсы мистер потато сыр 40 гр,шт.,9,75.6,115
,,,1119274,Служебная группа,Пюре роллтон 40 гр ассортимент,шт.,41,35.4166666666667,52
,,,109256,Продукты Питания/Павильное Питание,Мюсли 300гр с Земляникой ОГО,шт.,5,128.42,155
,,,2000999844007,Сладкое/Вафли/Зефир,Вафли простоквашино 240 гр,шт.,5,119.666666666667,175
,,,1119489,Химия/Для себя/Шампунь,Ножницы зингер 4,шт.,3,95,130
,,,1118595,Напитки/Вода,Бона Аква 0.5 мл газ,шт.,22,35.8333333333333,50
,,,1117238,Сладкое/Вафли/Зефир,сигаретки с курагой 330 гр,шт.,10,265,318
,,,1119428,Одежда/Носки/Гольфы,Носки мужские 1148,шт.,23,42,100
,,,1117178,Чипсы,Чипсы мистер потато сметана 40 гр,шт.,1,83.9,115
,,,105353,Фрукты/Сухофрукты,Манго шт желт,шт.,13,100,145
,,,95022,Продукты Питания/Павильное Питание,Конфеты Мягкий грильяж 200гр ПЕТРОДИЕТ сорбит,шт.,3,273.46,328
,,,1118378,Игрушки,Надувной матрас,шт.,1,1071,1600
,,,1118553,Для дома,Кресло надувное,шт.,2,1300,1800
,,,1118774,Игрушки,Авто на пульте с дымом,шт.,2,1240,1885
,,,102532,Сладкое/Мармелад/Драже/Карамель/М энд Мс/Скитлс/ и тп,МэндМс 45гр с молочным шоколадом,шт.,6,45,65
,,,97064,Напитки/Вода,Мевер 5л,шт.,18,85,110
,,,103581,Детские товары,Пюре Беби 90гр Яблоко персик,шт.,23,48,62
,,,108447,Сушеные Рыба/Говядина,Реелс Колбаски из Индейки 70г,шт.,2,71.99,140
,,,105909,Служебная группа,Термопакет мини,шт.,10,90,120
,,,2000999844191,Детские товары,Крем под подгузник 75 мл наша мама,шт.,2,196,237
,,,108663,Химия/Для себя,Стельки Силвер Осень Зима,шт.,5,184,235
,,,101453,Продукты Питания/Молочка/Сметана/Творог,Творожок Лакомка 230гр 9пр Альпенгурт,шт.,5,112.84,138
,,,1119717,Продукты Питания,Золотой стандарт пломбир трио 500гр,шт.,1,465,547
,,,95187,Сладкое/Прочее/Милка,Милка Чоко Бисквит 150 гр,шт.,9,190,250
,,,1118544,Сладкое/Мармелад/Драже/Карамель,Сладкая паста 22 гр,шт.,16,36,50
,,,95461,Напитки/Соки,Менди 1.25л,шт.,93,81.66,110
,,,2000999844239,Детские товары,Соска бибс оригинал,шт.,5,540,647
,,,103275,Для дома,Перчатки Зубр белый красный черный,шт.,33,60,85
,,,2000999843954,Игрушки,Человек пук 85 см,шт.,2,950,1500
,,,1119376,Продукты Питания/Мариновки,Фасоль белая в томатном соусе 425 мл,шт.,6,108.48,160
,,,1117570,Напитки/Соки/Энергетик,Пиво безалкогольное дон,шт.,3,65.2425,120
,,,98476,Детские товары,Мальборо дубле микс,шт.,3,210,240
,,,1117277,Чипсы,Принглс 165 гр,шт.,1,198,272
,,,1118321,Химия/Для себя/Прокладки,Пена очиститель мой рэббит 150 мл,шт.,1,182.86,250
,,,99205,Жевачка,Жевачка ментос 100гр,шт.,1,200,258
,,,1118519,Сладкое/Прочее/Турецкие сладости,Улкер батончик метро,шт.,18,0,50
,,,98189,Продукты Питания/Морепродукты,Икра  Дары Моря 100-113гр,шт.,10,52,77
,,,109074,весовые 1/Мясное1,Челночки Воздушные 1кг,шт.,1,590,707
,,,96122,Сладкое/Прочее/Нутелла,Нутелла энд го 52гр,шт.,24,150.8,180
,,,1207,Напитки/Чай/Кисель,Чай Гринфилд эрл грей 200 гр,шт.,6,210,257
,,,1118318,Химия/Для себя/Прокладки,Проклади эмилис 7 шт,шт.,4,120,150
,,,1119619,Химия/Для себя,Кукла в шапочке с большими глазами,шт.,1,700,1100
,,,1119573,Служебная группа,Лампочка 8801,шт.,15,110,160
,,,1118572,Сладкое/Вафли/Зефир,Персиковый тарт Азбука вкуса,шт.,4,700,840
,,,1119207,Сладкое/Прочее/Киндер,Сухарики А4 сыр 40 гр,шт.,4,31.2,55
,,,1119668,Продукты Питания,Лещ большой,шт.,7,80,150
,,,1118376,Игрушки,Надувной матрас 1.6 на 0.9 см,шт.,2,675,950
,,,1118211,Служебная группа,Набор от Chahel помада и духи,шт.,5,249,450
,,,2000999844077,Детские товары,Барби в коробке 338,шт.,4,350,525
,,,9818,ДЛЯ КАССЫ/Канцтовары/Для дома,Помидоры от джамили,шт.,3,130,170
,,,10222,Сладкое/Прочее/Милка,Плитка Милка Крем Бисквит 100гр,шт.,1,103.6,145
,,,2000999844258,Детские товары,Бюбхен крем для младенцев 75 мл,шт.,4,288,347
,,,111272,Для дома,Спутник Удленитель 1.8м,шт.,2,247.663333333333,325
,,,877,Весовые товары/Конфеты,Кексы МИШУЛЬКИ  шоколадно-ореховый весовой,кг,0.438,299,398
,,,105796,Служебная группа,Фисташки Экофиста 150гр,шт.,3,275,330
,,,1119338,Химия/Для себя/Шампунь,Лак для волос с каротином,шт.,2,102.06,140
,,,96690,Сладкое/Мороженое,Мороженое Бони,шт.,9,16,25
,,,103214,Кошачьи товары,Корм Китикет 350гр Улов рыбака,шт.,20,90,126
,,,1119081,Продукты Питания/Специи,Лавровый лист 50 гр,шт.,1,100,125
,,,95676,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Батончик сникерс супер 80гр,шт.,9,62.5,85
,,,1066,Весовые товары/Выпечка,Арахис Ежик (МС),кг,0.00599999999999989,164.591304347826,232
,,,1119148,Детские товары,Каша когда вырасту 200 гр,шт.,5,140,170
,,,104953,Сладкое/Домашняя выпечка,Любятово Мульти-Злаковые 250гр,шт.,3,135,170
,,,2000999843964,Химия/Для себя,Игрушка каталка,шт.,2,230,320
,,,1116953,Игрушки/Машинки,Буханка уаз большая,шт.,2,1200,1885
,,,110885,Детские товары,Мармелад Жумми 75гр акбар флотский,шт.,21,55.9025,
,,,2000999844231,Детские товары,Бутылочка рокси кидс 200 мл,шт.,2,382,458
,,,1117867,Электроника,Батарейки трофи мах,шт.,6,200,250
,,,1119057,Канцтовары,Текстовыделитель 2 шт,шт.,3,53,85
,,,1119145,Химия/Бытовая химия/Порошки,Гель для стирки Сорти 3 кг,шт.,3,350,525
,,,1119224,Напитки/Вода,Стик из курицы Абуев,шт.,1,117,135
,,,95245,Сушеные Рыба/Говядина,Желтый полосатик 30гр СТАРАЯ ГАВАНЬ,шт.,4,48,80
,,,1118890,Электроника/Гаджеты,Тройник 1634,шт.,2,550,900
,,,2000999844155,Напитки/Кофе/Какао/Сливки/Кофе,Кофе для варки Арабика 100 гр,шт.,3,166.03,200
,,,106651,Напитки/Соки,Сок Добрый 2л Апельсин,шт.,6,181.666666666667,225
,,,103338,Сухарики,Сухарики Кириешки 200гр,шт.,19,42.1,75
,,,102391,Служебная группа,Козинаки 12шт крупные,шт.,16,106,140
,,,94985,Сладкое/Прочее/Готовый завтрак (Хлопья),Несквик 250гр Пакет,шт.,16,95,125
,,,1119795,Сладкое/Прочее/Орео,Малтизерс малиновый 110гр,шт.,5,240,
,,,1118141,Химия/Для себя/Шампунь,Полоски для депиляции 0618,шт.,46,60,150
,,,1119451,Напитки/Соки,Айс кофе жб 0.25 мл,шт.,18,69.8333333333333,95
,,,106657,Сладкое/Конфеты/Печенья упаковки,Карамельное 430гр (Мозрозова),шт.,4,99.66,125
,,,1118848,Напитки/Вода,Витахаб 0.330 мл,шт.,24,105,135
,,,95463,Напитки/Соки,Кизил 0.5л DENEB,шт.,12,74.39,100
,,,1116271,Продукты Питания/Павильное Питание,Конфеты как так 58 гр 2 шт,шт.,45,1,50
,,,1118878,Химия/Бытовая химия,Зубная щетка Сплат средняя,шт.,3,175.06,215
,,,99337,Продукты Питания/Специи,Разрыхлитель теста 25гр Кубанское лето,шт.,10,20.5,30
,,,100190,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр моцарелла пицца 250гр Бонфесто,шт.,2,210,252
,,,1119120,Детские товары,Фруто няня каша с 12 месяцев,шт.,3,185,222
,,,1118917,Напитки/Соки,Менди 0.45 мл жб,шт.,47,59.96,90
,,,961,Весовые товары/Вафли вес,Слойка Лимонная  4мес Альфа,кг,0.14,293.333333333333,367
,,,1117089,Напитки,Добрый лимон и лайм 0.3,шт.,7,44.7083333333333,60
,,,106940,Продукты Питания/Специи,Дрожжи 6г Фермипан,шт.,18,10,16
,,,1116176,Сигареты,Кемл Компакт нов,шт.,60,201,215
,,,111166,Продукты Питания/Молочка/Йогурт/Пудинг,Йогурт Экспонента 160гр,шт.,24,100,128
,,,1118924,Продукты Питания/Специи,Крахмал кукурузный 200 гр,шт.,9,50,78
,,,2000999844244,Детские товары,Пенка мое солнышко 400 мл,шт.,3,187,235
,,,1116402,Жевачка,Ментос в Банке китай 46 гр,шт.,2,200,260
,,,1119453,Продукты Питания/Быстрое питание,Доширак 90 гр курица,шт.,20,48.0833333333333,63
,,,361,Весовые товары/Конфеты,Конфеты Фея,кг,3.22,227.9,285
,,,1119019,ДЛЯ КАССЫ/Посуда,Банка с крышкой 424,шт.,1,450,650
,,,105068,Посуда/Средство для мытья посуды,Салфетки 5шт Доминга 30/30см,шт.,5,85,115
,,,1117587,Химия/Бытовая химия,Кондиционер для белья камелия 1 л,шт.,6,140.04,180
,,,1119362,Сладкое/Вафли/Зефир,Кукурузные палочки стакан 25 гр,шт.,11,137.5,180
,,,100600,Продукты Питания/Специи,Приправа вкусовая Лотус 100гр Роял,шт.,9,55,75
,,,1119039,ДЛЯ КАССЫ/Посуда,Нож открывалка,шт.,4,125,200
,,,1118453,Посуда,Тарелка моя цена 12 шт,шт.,1,38.49,85
,,,111111,Продукты Питания/Молочка/Молоко/Кефир/Сливки,Молоко Дарман 1л 3.5-4.5пр,шт.,3,122,145
,,,1119602,Детские товары,Соски дешевые,шт.,21,14.1666666666667,30
,,,103272,Сладкое/Печенье/Пряники,Крекер Фигурный 350гр Заи,шт.,14,57.86,85
,,,1119172,Для дома/Скотч/Изолента,Переходник Е27,шт.,5,43.524,65
,,,1117929,Посуда/Средство для мытья посуды,Колд брю гранат,шт.,134,200,300
,,,96107,Напитки/Соки,Сок любимый аромат 2л,шт.,38,1,117
,,,1119412,Игрушки,Пони 500,шт.,1,380,580
,,,111191,Сухарики,Яшкино сендвич ореховый168гр,шт.,2,81.65,110
,,,1010,Весовые товары/Мясное,Сосиски мусульманские эко халяль,кг,3.328,190,260
,,,1118712,Медицина,Сигареты Ессе,шт.,3,220,260
,,,98041,Напитки/Вода,Архыз 1.5л,шт.,6,39.99,85
,,,99721,Продукты Питания/Молочка/Сметана/Творог,Сметана Кубанская буренка 300гр 15пр,шт.,2,94.99,115
,,,99152,Напитки/Соки/Энергетик,Red Bull krating daeng 250мл,шт.,21,82,135
,,,1119517,Служебная группа,Носки детские 768,шт.,20,25,75
,,,1115698,Сладкое/Прочее,Соломка 75гр Бульба,шт.,12,95,125
,,,95352,Напитки/Вода,Кубай 0.5 СПОРТ,шт.,17,40,55
,,,1118618,Химия/Бытовая химия,Влажные салфетки Мишка красные,шт.,1,101,130
,,,1118882,Продукты Питания/Павильное Питание,Свитобокс в коробочке 10 гр,шт.,18,198,247
,,,2000999844033,ДЛЯ КАССЫ/Канцтовары/Для дома,Кукла детская,шт.,1,1700,3250
,,,1185,Напитки/Чай/Кисель,Чай Марьям супер 100 гр,шт.,1,118,145
,,,100377,Напитки/Чай/Кисель,Чай Муслим 90гр эрл грей бергамот,шт.,12,135,162
,,,5568,Обувь,Кроксы 3,шт.,17,600,850
,,,104436,Электроника,Батарейка Кодак АА лр03,шт.,3,38.22,63
,,,1118755,Игрушки,Телефон лабубу домашний,шт.,2,130,200
,,,1117743,Игрушки,Игрушка забава смайл,шт.,46,233.1,350
,,,111322,Напитки/Вода,Альпенланд 420г питьевой йгурт,шт.,11,85.6666666666667,112
,,,1045,Весовые товары/Мясное,Башаров Ветчина Куриная,кг,0.0189999999999999,497.004926108374,596
,,,104281,Служебная группа,Просто Чисто Эконом Салфетки 180ш,шт.,1,195.03,240
,,,103184,Сладкое/Прочее,Сендвич кекс какао с маршмеллоу 200гр Мун Кейк,шт.,1,150.67,182
,,,96555,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр плавленный виолетта 200гр,шт.,9,130,156
,,,1119754,Хлеб/Фаст Фуд,Твистер,шт.,1,110,140
,,,99104,Сладкое/Прочее/Готовый завтрак (Хлопья),Любятово Хлопья кукуркзные 300гр,шт.,1,72,100
,,,104335,Продукты Питания/Павильное Питание,Батончик Нут-Го миндаль/кокос 36гр,шт.,13,35.305,55
,,,100151,Сладкое/Прочее/Милка,Милка чоко сенсейшн 156гр,шт.,13,195,257
,,,1116473,Для дома,Перчатки строительные Зеленые,шт.,99,30,55
,,,1117750,Продукты Питания/Павильное Питание,Бомб бар брауни 40 гр,шт.,6,78.1,107
,,,101801,Для дома/Салфетки,Бумага Папия секрет гарден 3сл 4рул,шт.,4,88.3,115
,,,1244,Напитки/Чай/Кисель,Чай Азер 25 пак без окошка,шт.,13,65,80
,,,101471,Продукты Питания/Быстрое питание,Лапша Чиз рамен 110гр,шт.,5,64.6,83
,,,94981,Сладкое/Прочее/Милка,Плитка Милка 87гр ЛУ,шт.,52,110,145
,,,100166,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Пшеничная крупа 1000гр Цолода,шт.,1,48,72
,,,1117930,Напитки/Соки,Напиток молочный 520 мл,шт.,13,127,180
,,,102842,Детские товары,Подгузники Ловулар Жираф 5-ка 42шт,шт.,1,1180,1416
,,,95911,Напитки/Соки,Акапелла 0.5 ассорти,шт.,8,76.635,105
,,,108581,Продукты Питания/Молочка/Сгущенка,Молоко сгущеное 920гр Молочный Союз,шт.,3,176,212
,,,96443,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Соус Слобода Сырный 217гр,шт.,4,87.97,135
,,,108198,Напитки/Кофе/Какао/Сливки,МакКоффее 3 в 1 20гр Сгущ Молоко,шт.,16,12.94,17
,,,2000999844130,Для дома,Шампур бамбуковый 100 шт,шт.,3,40,70
,,,1100,Весовые товары/Драже,Халва с Какао Зебра  Альфа,кг,1.488,198,272
,,,1115552,Сигареты,Белый Мишка Горячий шоколад300гр,шт.,2,212,298
,,,10184,Напитки/Соки,Фрутик сок детский,шт.,94,20.5,30
,,,105,Химия,Конфеты Обыкновенное чудо Славянка,кг,1.958,390,468
,,,1116006,Химия/Бытовая химия/Порошки,Порошок Бимакс 1.5 кг,шт.,3,222,268
,,,2000999844113,Химия/Для себя/Салфетки влажные,Влажные салфетки фор мен 120 шт,шт.,8,85,130
,,,2000999844267,Детские товары,Бутылка сказка стекло 60 мл,шт.,4,131,187
,,,5938,ДЛЯ КАССЫ/Прочее.,Мыло Хозяйственное Русь 250гр,шт.,3,52.02,68
,,,2000999844153,Весовые товары/Мясное,Момо с курятиной 500 гр вкуснотеево,шт.,5,170,237
,,,1118432,Служебная группа,Увлажняющая сывортка для лица 100гр,шт.,8,140,300
,,,97285,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис Индийский 1121 1кг,шт.,2,185,230
,,,1119119,Служебная группа,Колд брю Алея,шт.,70,180,280
,,,95927,Детские товары,Подгузники Хелен харпер Аэр Комфорт 4 - ка 50шт,шт.,2,599,720
,,,108416,Детские товары,БиоТворог Лесные Ягоды 100гр Фруто Няня,шт.,3,52.42,65
,,,1118874,Химия/Бытовая химия,Ваниш для ковров 450 мл,шт.,1,239,398
,,,1118589,ДЛЯ КАССЫ/Подгузники,Подгузники беби м,шт.,3,1183,1415
,,,1117779,Электроника,Аукс ФР 25,шт.,4,190,300
,,,2000999843948,Игрушки,Пистолет револьер большой,шт.,4,30,80
,,,1118505,Для дома/Мешки для мусора,Пакеты для мусора плюше 180 л,шт.,1,170.01,210
,,,1118767,Игрушки,Пластилин большой 12 шт,шт.,10,320,420
,,,103528,Напитки/Соки,Акапелла 1л Ананас,шт.,3,142.155555555556,175
,,,1119349,Сладкое/Прочее,Фонарь велосипедный космос,шт.,1,762.58,925
,,,1118574,Сигареты,Филип Морис новый,шт.,3,185,200
,,,106114,весовые 1/Мясное1,Албени Бар бек 30гр Улькер,шт.,17,42.4444444444444,60
,,,98192,Сушеные Рыба/Говядина,Мясные чипсы из говядины 40гр Халял-Снек,шт.,7,138,168
,,,1119048,Электроника,Сетевой фильтр Космос 3 м,шт.,2,306.215,350
,,,1118401,Электроника/Гаджеты,Аукс фх25,шт.,4,190,350
,,,1118372,Игрушки,Бассейн 1.42 на 84 см,шт.,1,1341,1950
,,,105221,Служебная группа,Корона Кавказа крупа гречневая 1кг,шт.,2,62,95
,,,1117031,Сладкое/Мороженое,Капуста цветная 700гр,шт.,1,159.2,265
,,,813,Весовые товары/Конфеты,Леденцы ассорти бренд,кг,3.704,838.1,1085
,,,103383,Сладкое/Шоколадные плитки/пасты,Плитка Бабаевский 90гр горькая,шт.,5,95,158
,,,99477,Напитки/Чай/Кисель,Чай Джамал 200гр с бергамотом,шт.,4,310,388
,,,1119186,Канцтовары,Дневник 1-4 кл,шт.,8,50,100
,,,108047,Химия/Ароматная,Освежитель Воздуха 300мл Озон,шт.,6,107.95,145
,,,1119529,Служебная группа,Роллер для чистки одежды,шт.,15,75,110
,,,105587,Сладкое/Вафли/Зефир,Вафли Ящкино С Мол/Какао 144гр,шт.,1,59.85,85
,,,1119447,Напитки/Соки,Гуниб персик 0.75 мл,шт.,1,98.29,125
,,,107052,Чипсы/Принглс,Прингалс 40гр Паприка,шт.,21,78,120
,,,829,весовые 1/Конфеты1,Конфеты вафельные сфундуком Аленка,кг,1.876,429.525,885
,,,96898,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Сахар свекловичный 3кг Лидер,шт.,2,195,235
,,,96478,Продукты Питания/Молочка,Сыр янтарный 80гр,шт.,9,15,23
,,,111350,Продукты Питания/Морепродукты,Сельди 200гр Балтииский берег в масле,шт.,2,150,180
,,,1118627,Химия/Бытовая химия,Чистый дом 400 мл,шт.,7,250,300
