Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,1118136,Химия/Для себя/Крем,Увлажняющий крем с коллагеном 30 мл,шт.,5,55,250
,,,1118759,Игрушки/Машинки,Цветок косметика,шт.,3,125,200
,,,1322,Семечки,Семечки с солью 80гр КРУТОЙ ОКЕР,шт.,1,40.9,58
,,,1119610,Химия/Для себя,Зайка в платье большой,шт.,3,500,900
,,,2000999844174,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Чипсы Diesel 120 гр сметана и петрушка ( РУССКАЯ КАРТОШКА),шт.,20,99.19,127
,,,10043,Одежда/Носки/Гольфы,Носки мужские Найк 41-47,шт.,8,28,75
,,,1117747,Детские товары,Малютка 900 гр 1,шт.,2,960,1152
,,,1116299,Напитки/Соки,Сок Добрый 1 л мультифрукт,шт.,45,96.5,125
,,,104161,Сладкое/Домашняя выпечка,Трайфл стакан большой,шт.,3,285,342
,,,103120,Фрукты/Сухофрукты,Курага 300гр Аль Ихляс,шт.,4,270,335
,,,1117945,Сладкое/Мороженое,Хабиби дубайский шоколад 80 гр,шт.,1,125,160
,,,2000999844087,Детские товары,Кукла резиновая в коробке,шт.,2,820,1017
,,,2000999844331,Хлеб/Хлеб1,Хлеб турецкий,шт.,18,40,50
,,,99514,Детские товары,Каша Фруто няня 200гр Яблоко банан и земляника,шт.,4,130,160
,,,1119679,ДЛЯ КАССЫ/Посуда,Контейнер маленький,шт.,73,6.5,10
,,,1119010,ДЛЯ КАССЫ/Посуда,Набор контейнеров 4в1,шт.,1,300,450
,,,1118906,Напитки/Соки,Булочки для бургера 6 шт,шт.,14,255,312
,,,95505,Химия/Бытовая химия,Белизна Гель 5в1,шт.,24,55,80
,,,1119083,Сладкое/Мармелад/Драже/Карамель/Мармелад,Бургер на палочке,шт.,1,20,35
,,,106044,Служебная группа,Коффе Атоми 12.1г,шт.,31,39,50
,,,1118561,Химия/Для себя/Бритвы,Набор для маникюра,шт.,2,270,360
,,,1041,Весовые товары/Конфеты,Конфеты Добрянка Фундук,кг,1.544,483,598
,,,2000999844069,Напитки/Соки,Мед Горский 370 гр,шт.,2,204.7,350
,,,1118614,Химия/Бытовая химия,АВС Чистящее средство 750 мл,шт.,13,110.5,135
,,,99525,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр плавленый Сливочный Президент 200гр,шт.,2,136.82,165
,,,2000999844248,Детские товары,Бюбхен для младенцев 400 мл,шт.,3,570,687
