Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;1119560;Химия/Для себя;Пупа пудра оригинал;шт.;4,000;880,00;3520,00;
;;;1248;Напитки/Чай/Кисель;Чай Азер Зеленый 100 гр;шт.;7,000;62,00;434,00;
;;;1115992;Сушеные Рыба/Говядина;Кальмар 100 гр Флотская;шт.;2,000;201,88;403,76;
;;;1119185;Канцтовары;Дневник хатбер;шт.;2,000;45,00;90,00;
;;;1119152;Продукты Питания/Консервы/Мясо;Печенье малышам 250 гр;шт.;8,000;110,00;880,00;
;;;1229;Напитки/Чай/Кисель;Чай Джамал 450 гр;шт.;5,000;631,00;3155,00;
;;;102516;Сладкое/Домашняя выпечка;Рулет меренговый Азбука Вкуса;шт.;3,000;590,00;1770,00;
;;;1118884;Продукты Питания/Павильное Питание;Киндер Яйцо 70 гр;шт.;2,000;364,83;729,67;
;;;2000999844188;Сладкое/Прочее/Милка;Жевательная резинка баблфрукт 12 гр;шт.;30,000;9,45;283,50;
;;;2000999844261;Детские товары;Бимуника жидкое мыло-крем;шт.;2,000;211,00;422,00;
;;;1118040;Сладкое;киндер джой 20гр;шт.;25,000;110,00;2750,00;
;;;103212;Кошачьи товары;Корм Китикет 800гр Мясной пир;шт.;8,000;210,00;1680,00;
;;;1115921;Фрукты/Овощи/Зелень/Фрукты/Ягоды;Абрикос новый маленький;шт.;4,000;200,00;800,00;
;;;1117398;Продукты Питания/Консервы/Мясо;Скумбрия филе 170 гр;шт.;3,000;151,68;455,04;
;;;105913;Служебная группа;Протеиновые Батончики 40гр;шт.;17,000;37,61;639,37;
;;;96112;Продукты Питания/Молочка/Йогурт/Пудинг;Йогурт питьевой Эрмигурт 290гр;шт.;27,000;73,00;1971,00;
;;;2000999844032;Продукты Питания/Молочка/Йогурт/Пудинг;Актибио питьевой злаки 870 гр;шт.;2,000;181,99;363,98;
;;;104446;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Томатная паста 700гр Кубанская трапеза;шт.;5,000;144,67;723,35;
;;;1116547;Сладкое/Прочее;Мальтизерс 135 гр;шт.;1,000;270,00;270,00;
;;;1119563;Химия/Для себя;Пудра силлари;шт.;2,000;780,00;1560,00;
;;;97706;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Майонез Махеев Сметанный 800мл;шт.;1,000;148,81;148,81;
;;;102290;Напитки/Чай/Кисель;Чай Тесс 25пак Плеасур;шт.;3,000;73,00;219,00;
