Отчет Наличие товаров к дате;;;;;;;;;;
;;;;;;;;;;
;;;Код;Группа;Товар;Ед. изм.;Количество;Приходная цена;Приходная ст-сть;
;;;98201;Детские товары;Малютка 2 1200гр;шт.;2,000;1100,00;2200,00;
;;;1118592;Продукты Питания/Молочка/Йогурт/Пудинг;Плитка Альпен Голд 85 гр пористый;шт.;5,000;79,99;399,95;
;;;1118443;Химия/Бытовая химия;Патчи гидрогелевые;шт.;97,000;70,00;6790,00;
;;;95086;Продукты Питания/Специи;Лавровый лист 30гр КУБАНСКОЕ ЛЕТО;шт.;9,000;40,00;360,00;
;;;2000999844180;Сладкое/Прочее/Милка;Жевательная резинка Бабл пайп;шт.;56,000;11,27;631,12;
;;;106121;Сладкое/Шоколадные плитки/пасты;Плитка Яшкино молоч 90 гр;шт.;10,000;102,35;1023,50;
;;;1118955;Сушеные Рыба/Говядина;Карибус 25 гр флотская;шт.;35,000;67,37;2357,95;
;;;103491;яя Подарки;Свечи Фонтан 3шт 60сек МФ - 010;шт.;3,000;140,00;420,00;
;;;390;Весовые товары/Выпечка;Пряники Ароматон Ассорти Агеевские (Альфа);шт.;3,418;262,00;895,52;
;;;1119481;Химия/Для себя/Шампунь;Гель для душа камей 400 мл;шт.;8,000;120,00;960,00;
;;;1117363;Сладкое/Мороженое;Мороженое марзо бел;шт.;12,000;40,00;480,00;
;;;101338;Посуда;Терка белая 144;шт.;3,000;350,00;1050,00;
;;;2000999844126;Для дома;Формочки;шт.;4,000;250,00;1000,00;
;;;106883;Напитки/Соки/Энергетик;Red bull 0.25л вкусовой;шт.;322,000;108,33;34883,33;
;;;1272;Сладкое/Прочее;Чоко Пай  6шт LOTTE;шт.;18,000;70,31;1265,63;
;;;1119326;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Рис корона кавказа 3 кг;шт.;3,000;243,00;729,00;
;;;97319;Напитки/Кофе/Какао/Сливки/Кофе;Кофе Тчибо 190гр Голд коллекция;шт.;3,000;445,00;1335,00;
;;;1119005;ДЛЯ КАССЫ/Посуда;Электроплитка м1;шт.;1,000;1110,00;1110,00;
;;;2000999844005;Сладкое/Мороженое;Часы на руку;шт.;2,000;1750,00;3500,00;
;;;1119586;Одежда;Свечи 100 шт;шт.;3,000;450,00;1350,00;
;;;95201;Напитки/Соки;Квас приморский 1.25л DENEB;шт.;26,000;72,42;1882,92;
;;;2000999844142;Напитки;Ачалуки 1.5 л лимон-лайм;шт.;6,000;36,67;220,00;
;;;108450;яя Подарки;Влажные салфетки Конфорт Розе 120шт;шт.;9,000;123,00;1107,00;
;;;2000999844002;ДЛЯ КАССЫ/Аксессуары;Батарейки дюрасел ЛР6;шт.;12,000;80,00;960,00;
;;;94920;Сладкое/Вафли/Зефир;Macarons 48гр АКУЛЬЧЕВ;шт.;11,000;117,85;1296,35;
;;;10053;Сладкое/Домашняя выпечка;Сосиски Говяжьи Дарман 1;шт.;2,000;252,00;504,00;
;;;1117402;Продукты Питания/Морепродукты;Икра трески 120 гр;шт.;2,000;125,68;251,36;
;;;1116313;Сладкое/Мармелад/Драже/Карамель;Карамель леденцовая Кенди 200 гр;шт.;15,000;249,92;3748,74;
;;;1118929;Электроника/Гаджеты;Флешка 256 гб;шт.;1,000;1450,00;1450,00;
;;;1119741;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Пшено корона кавказа 500гр;шт.;5,000;28,00;140,00;
;;;102845;Детские товары;Подгузники Молфикс 5-ка 44шт;шт.;3,000;720,00;2160,00;
;;;1119746;Сладкое/Мармелад/Драже/Карамель;Скитлс драже 125 гр;шт.;1,000;165,00;165,00;
;;;1118900;Сладкое/Мороженое;Мороженое сэндвич хабиби;шт.;2,000;79,00;158,00;
;;;1118570;Напитки/Соки;Мохито Дин 0.5 мл;шт.;14,000;50,00;700,00;
;;;89;Весовые товары/Выпечка;Трубочки фигли-мигли;кг;0,546;256,67;140,14;
;;;108269;Сладкое/Мороженое;Мороженое Рожок Простоквашино;шт.;15,000;73,50;1102,50;
;;;1118653;Напитки/Соки;J7 апельсин 0.3 мл;шт.;8,000;79,84;638,72;
;;;99510;Сладкое/Конфеты/Печенья упаковки;Конфеты Руа 1кг Ессен;шт.;2,000;318,20;636,40;
;;;567;Весовые товары/Выпечка;Медовые с курагой Метрополис (Арма) 21дн;кг;0,030;370,00;11,10;
;;;1119705;Электроника/Гаджеты;Часы плюсХ2;шт.;1,000;2300,00;2300,00;
;;;95468;Напитки/Соки;Денеб 0.5 Голд;шт.;107,000;46,09;4931,63;
;;;99678;Сладкое/Прочее/Милка;Плитка Милка Карамель 90гр;шт.;1,000;100,00;100,00;
;;;102865;Медицина;Марля 5м Никос;шт.;2,000;170,00;340,00;
;;;629;Весовые товары/Выпечка;ВС Козинаки ассорти круглые (Альфа) 6мес;кг;5,886;274,67;1616,69;
;;;109454;Детские товары;Нутрилон Га 2 800гр Жб;шт.;1,000;1850,00;1850,00;
;;;1119651;Игрушки;Кукла бьюти гирл;шт.;1,000;1200,00;1200,00;
;;;1118953;Сладкое/Печенье/Пряники;Печенье сдобное Яшкино 137гр клубника;шт.;2,000;75,19;150,38;
;;;97127;Сладкое/Домашняя выпечка;Лимонники длинные Азбука вкуса;шт.;5,000;225,00;1125,00;
;;;1118795;Канцтовары;Альбом 30 л;шт.;1,000;85,00;85,00;
;;;99540;Химия/Бытовая химия;Средство для билья 2л АБС;шт.;1,000;240,00;240,00;
;;;102497;Напитки/Соки;Спрайт 0.25л стекло;шт.;23,000;47,92;1102,08;
;;;106236;Электроника;Батарейки Камелион СР16-32;шт.;1,000;100,00;100,00;
;;;94954;Чипсы;Русская картошка 140гр РУССКАРТ;шт.;43,000;149,49;6428,07;
;;;107348;Детские товары;Подгузники Ловурал Жираф 2-ка 72шт;шт.;2,000;1160,00;2320,00;
;;;105174;Служебная группа;Фасоль Краснодарский 600гр;шт.;2,000;100,00;200,00;
;;;2000999844329;Детские товары;Сказка нагрудник набор 3 шт;шт.;1,000;123,00;123,00;
;;;1118925;Продукты Питания/Полуфабрикаты;Хинкал домашний леззет 400 гр;шт.;2,000;85,00;170,00;
;;;97013;Сладкое/Батончики/бисквиты/Батончики/Пирожные;Батончик Лавива 35гр Улкер;шт.;36,000;43,00;1548,00;
;;;95983;Сигареты;Кент 4;шт.;10,000;246,00;2460,00;
;;;103052;Сладкое/Домашняя выпечка;Сникерс мини Азбука Вкуса;шт.;5,000;150,00;750,00;
;;;102866;Медицина;Марля 10м Никос;шт.;2,000;320,00;640,00;
;;;1119565;Химия/Для себя;Пудра фит ми;шт.;2,000;650,00;1300,00;
;;;110188;Сушеные Рыба/Говядина;Золоотой Плавник 40гр Флотская;шт.;5,000;86,72;433,60;
;;;2000999844444;Семечки;Маккофе голд 1.8 гр;шт.;90,000;7,21;648,90;
;;;1118942;Посуда;Кружки 6 шт 235;шт.;1,000;500,00;500,00;
;;;111195;Сигареты;Сити 20 т;шт.;7,000;1300,00;9100,00;
;;;108410;Напитки/Соки;Тбилиссимо 0.5л стел;шт.;1,000;74,17;74,17;
;;;1119200;Напитки/Вода;Меркурий1 л;шт.;12,000;53,33;640,00;
;;;99338;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Рис Исмаил 400 гр;шт.;11,000;37,00;407,00;
;;;1119384;Сладкое/Конфеты/Печенья упаковки;Печенье топленое молоко морозов 290 гр;шт.;5,000;69,13;345,65;
;;;1118391;Напитки/Соки;Сок добрый апельсин-мандарин 2 л;шт.;37,000;153,82;5691,28;
;;;103821;Продукты Питания/Молочка/Сыр/Копченый Сыр;Сыр лапша Спагетти 40гр Золото;шт.;1,000;32,00;32,00;
;;;9889;ДЛЯ КАССЫ/Подгузники;Тапочки женские;шт.;6,000;380,00;2280,00;
;;;5697;ДЛЯ КАССЫ/Прочее.;Свечи;шт.;467,000;12,00;5604,00;
;;;218;Весовые товары/Молочка весовая;Сыр гауда Олден;кг;1,744;479,92;836,98;
;;;99207;Сладкое/Прочее/Нутелла;Нутелла Б-реди 22гр;шт.;2,000;49,00;98,00;
;;;2000999844340;ДЛЯ КАССЫ/Химия;Мыло Амвэй для тела;шт.;1,000;550,00;550,00;
;;;1118025;Хлеб/Фаст Фуд;лаваш арабский 3 шт;шт.;6,000;60,00;360,00;
;;;110832;Электроника/Гаджеты;АЗУ DZ15;шт.;1,000;570,00;570,00;
;;;310;Весовые товары/Мясное;Куриные окорочка мм;кг;0,552;439,00;242,33;
;;;1117141;Напитки/Кофе/Какао/Сливки;Лейс цитросовый юдзу с чили;шт.;20,000;115,79;2315,79;
;;;587;Весовые товары/Выпечка;Малина весовая;кг;11,329;1333,33;15105,33;
;;;2000999844195;Детские товары;Жидкое мыло с календулой наша мама;шт.;2,000;175,00;350,00;
;;;1119348;Сладкое/Прочее;Фонарь аккумуляторный космос 7035;шт.;5,000;352,26;1761,30;
;;;1118481;Продукты Питания/Консервы/Зелень;Фасоль кубань матушка 600гр;шт.;2,000;150,00;300,00;
;;;1179;Напитки/Чай/Кисель;Чай Бета 100 гр;шт.;8,000;112,00;896,00;
;;;101944;Химия/Бытовая химия;Средство для полов 900мл АВС;шт.;11,000;122,04;1342,44;
;;;1118717;Сладкое/Прочее/Милка;Киндер батончик тронки 90 гр;шт.;10,000;260,00;2600,00;
;;;97060;Напитки/Соки;Сок Добрый Супер джус 0.2л;шт.;28,000;29,63;829,63;
;;;96679;Продукты Питания/Специи;Агар 7гр Русский Аппетит;шт.;7,000;68,50;479,50;
;;;1119140;Продукты Питания/Консервы/Мясо;Нут жб 400 гр;шт.;1,000;64,46;64,46;
;;;104120;Детские товары;НАН2 Смесь гипоаллергенный 800гр с 6мес;шт.;1,000;1650,00;1650,00;
;;;1118677;Чипсы;Чипсы икряные триумф 50 гр;шт.;4,000;95,00;380,00;
;;;1118943;Посуда;Кружки 6 шт 5005;шт.;1,000;700,00;700,00;
;;;2000999843993;ДЛЯ КАССЫ/Аксессуары;Переноска многофункциональная 501;шт.;4,000;950,00;3800,00;
;;;104442;Служебная группа;Сливки Альпенгурт 10пр 10шт;шт.;2,000;69,33;138,66;
;;;2000999844124;Химия/Для себя/Прокладки;Влажные салфетки Клеанер 120 шт;шт.;20,000;83,00;1660,00;
;;;96220;Продукты Питания/Молочка/Сметана/Творог;Сметана Простоквашино 300гр 15пр;шт.;3,000;115,00;345,00;
;;;1119615;Химия/Для себя;Зайка в свитере большая;шт.;1,000;1200,00;1200,00;
;;;1119024;ДЛЯ КАССЫ/Посуда;Заварочный чайник 1.2 л 27;шт.;1,000;684,00;684,00;
;;;1118375;Игрушки;Надувной матрас 115 на 25 см;шт.;5,000;441,00;2205,00;
;;;2000999844276;Детские товары;Порошок для стирки мепси 6 кг;шт.;2,000;930,00;1860,00;
;;;1117890;Медицина;ЛД компакт 100;шт.;9,000;181,00;1629,00;
;;;1119425;Одежда/Носки/Гольфы;Носки мужские 3072;шт.;29,000;33,00;957,00;
;;;104210;Весовые товары/Конфеты;Сыр Кабардинский 0.6 кг;шт.;3,000;260,00;780,00;
;;;95341;Напитки/Соки;Квас 0.5 СУЛАК стекло;шт.;12,000;32,50;390,00;
;;;110058;Напитки/Соки;Черноголовка Дюшес 2л;шт.;5,000;113,33;566,67;
;;;110140;Продукты Питания/Консервы/Мясо;Килька обжаренная в томатном соусе 270гр ЗА РОДИНУ;шт.;6,000;114,15;684,90;
;;;98984;Сухарики;Сухарики 2 крошки 60гр+25мл Соуса;шт.;3,000;31,25;93,75;
;;;104974;Одежда/Носки/Гольфы;Вкусовая Приправа Лотус 400гр;шт.;9,000;170,00;1530,00;
;;;99023;Игрушки;JUMEx 460ml;шт.;8,000;150,00;1200,00;
;;;110588;Продукты Питания/Молочка/Йогурт/Пудинг;Чудо Творожок 85гр;шт.;2,000;41,99;83,98;
;;;2000999844166;Детские товары;Бэби фокс соленая карамель 45 гр;шт.;30,000;43,70;1311,00;
;;;1119457;Продукты Питания/Быстрое питание;Лапша 130 гр Пибим;шт.;10,000;97,00;970,00;
;;;110301;Продукты Питания/Молочка/Йогурт/Пудинг;Пудинг Нежный 100гр;шт.;34,000;33,71;1146,14;
;;;103053;Сладкое/Домашняя выпечка;Торт Ассорти Азбука Вкуса;шт.;3,000;930,00;2790,00;
;;;2000999844262;Детские товары;Сказка нагрудник 3 шт;шт.;1,000;199,00;199,00;
;;;1117155;ДЛЯ КАССЫ/Прочее.;Одноразовый станок;шт.;8,000;12,50;100,00;
;;;1119249;Напитки/Соки;J7 Ассорти 0.97л т/пакет манго;шт.;10,000;194,00;1940,00;
;;;106802;Детские товары;Бутылка 180мл Паомма;шт.;4,000;330,00;1320,00;
;;;1119700;Детские товары;Нагрудник  энта;шт.;3,000;350,00;1050,00;
;;;104472;Сладкое/Мороженое;Лакомка Русский Холод 80г;шт.;30,000;88,00;2640,00;
;;;2000999844194;Детские товары;Для купания младенцев 1000 мл мята;шт.;2,000;422,00;844,00;
;;;1118814;Для дома;Веник и савок 083;шт.;1,000;590,00;590,00;
;;;96852;Продукты Питания/Молочка/Молоко/Кефир/Сливки;Сливки 1л Шантипак;шт.;1,000;260,00;260,00;
;;;1118435;Служебная группа;Крем для лица 100 мл;шт.;4,000;100,00;400,00;
;;;1119318;Продукты Питания/Быстрое питание;Соевое мясо пряная палочка 26 р;шт.;26,000;28,00;728,00;
;;;1116969;Сладкое/Батончики/бисквиты/Батончики/Пирожные;Батончик вафер ролл сникерс;шт.;7,000;40,00;280,00;
;;;2000999844051;Жевачка;Протеиновый батончик марс 51 гр;шт.;6,000;250,00;1500,00;
;;;98684;Напитки/Вода;Бонаква 0.5л;шт.;120,000;35,83;4300,00;
;;;109727;Фрукты/Сухофрукты;Изюм Голден 300гр Фооджейра;шт.;3,000;93,00;279,00;
;;;104470;Служебная группа;Милка Чоко снаск;шт.;14,000;72,08;1009,17;
;;;97190;Для дома;Пластина от камаров 10шт Масквиталл;шт.;48,000;20,00;960,00;
;;;933;Фрукты/Овощи/Зелень/Фрукты/Ягоды;Слива;кг;12,404;300,00;3721,20;
;;;2000999843955;Игрушки;Зайка в свитере 55 см;шт.;2,000;550,00;1100,00;
;;;1116309;Сладкое/Шоколадные плитки/пасты;Шоколадная паста Велнут 400 гр Крембер;шт.;3,000;366,13;1098,39;
;;;1118901;Сладкое/Мороженое;Мороженое Гигант стакан;шт.;36,000;95,00;3420,00;
;;;1118450;Химия/Для себя/Крем;Губная для увелечения;шт.;38,000;59,00;2242,00;
;;;2000999844319;Детские товары;Лулу экстракт для купания;шт.;1,000;205,00;205,00;
;;;2000999844333;Электроника/Гаджеты;Часы смарт;шт.;1,000;2100,00;2100,00;
;;;1119748;Сладкое/Мармелад/Драже/Карамель;Кит кат с карамелью 41 гр;шт.;24,000;66,00;1584,00;
;;;97128;Сладкое/Домашняя выпечка;Медовик Азбука вкуса;шт.;3,000;315,00;945,00;
;;;1118835;Напитки/Соки;Липтон 0.5 мл манго;шт.;6,000;75,87;455,24;
;;;325;Весовые товары/Конфеты;Конфеты Беар кэнди;кг;4,000;757,50;3030,00;
;;;1118691;Напитки/Соки;Зубная паста колгейт 146 гр;шт.;6,000;93,00;558,00;
;;;103213;Кошачьи товары;Корм Китикет 350гр;шт.;32,000;85,00;2720,00;
;;;100120;Одежда/Колготки;Колготки Конте Соло 20ден 6-ка;шт.;4,000;137,50;550,00;
;;;1119417;Весовые товары/Мясное;Злаковый батончик Аленка 19 гр;шт.;14,000;30,24;423,33;
;;;102957;Детские товары;Сок Фруто няня 0.2л яблоко;шт.;5,000;31,99;159,95;
;;;103547;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Майонез Махеев С перепелиныым яйцом 200мл;шт.;4,000;48,70;194,80;
;;;979;Весовые товары/Выпечка;Печенье Сахарное Шоколадное (Альфа);кг;0,986;157,33;155,13;
;;;97699;Продукты Питания/Майонез/Кетчуп/Уксус и т.п.;Кетчуп Махеев 300гр лечо;шт.;7,000;63,22;442,54;
;;;1119247;Чипсы;Шок арахис-карамель 50 гр;шт.;4,000;72,14;288,57;
;;;1117928;Продукты Питания/Молочка/Йогурт/Пудинг;Йогурт экспонента черника 250 гр;шт.;4,000;145,00;580,00;
;;;9;Фрукты/Овощи/Зелень/Овощи;Чеснок (местный);кг;3,532;351,45;1241,32;
;;;1115719;Продукты Питания/Павильное Питание;Шоколад Дубайский 100гр СникаСпорт;шт.;6,000;420,00;2520,00;
;;;105550;Сладкое/Конфеты/Печенья упаковки;Конфеты Берлинго 1кг Ессен;шт.;3,000;554,46;1663,38;
;;;1146;Продукты Питания/Молочка/Йогурт/Пудинг;Йогурт Альпенленд сливочный 95гр 7.5пр;шт.;8,000;32,71;261,68;
;;;97522;Продукты Питания/Мариновки;Огурцы с зеленью в заливке 3000гр Исмаил;шт.;7,000;234,00;1638,00;
;;;110192;Сушеные Рыба/Говядина;Ставридка 80гр Флотская;шт.;10,000;194,21;1942,10;
;;;2000999844370;Напитки/Соки;Редбулл Карабао 250 мл;шт.;9,000;89,00;801,00;
;;;1277;Чипсы/Принглс;Прингалс 165гр;шт.;180,000;175,00;31500,00;
;;;1119332;Химия/Машинный отдел;Бумажные полотенца вива 500 л;шт.;3,000;130,00;390,00;
;;;1115624;Напитки/Кофе/Какао/Сливки/Кофе;Кофе Султан Эфенди 100гр;шт.;2,000;130,00;260,00;
;;;109678;Сигареты;Зажигалка Крикер;шт.;33,000;23,40;772,20;
;;;1117440;Сладкое/Батончики/бисквиты;Печенье с маршмеллоу крембер;шт.;2,000;113,61;227,22;
;;;563;Весовые товары/Конфеты;Конфеты Элле с Молочной начинкой;кг;0,780;523,25;408,14;
;;;99216;Чипсы;Луковые кольца 200гр велес;шт.;7,000;65,00;455,00;
;;;1116484;Хлеб/Фаст Фуд;Бургер 2;шт.;1205,000;65,00;78325,00;
;;;105544;весовые 1/Мясное1;Кольца Пудра 0.6кг;шт.;2,000;200,00;400,00;
;;;1119305;Весовые товары/Конфеты;Аленка понч с манго 150 гр;шт.;2,000;104,76;209,53;
;;;98876;Чипсы/Лейс;Лейс 140гр Сыр;шт.;3,000;115,79;347,37;
;;;1119366;Продукты Питания/Консервы/Зелень;Массажная расческа с зеркалом;шт.;5,000;117,00;585,00;
;;;1119709;ДЛЯ КАССЫ/Химия;Спрей дезодарант Амвэй;шт.;1,000;600,00;600,00;
;;;1118382;Игрушки;Надувной круг для моря;шт.;8,000;250,00;2000,00;
;;;1119767;Химия/Для себя/Полость рта;Зубной порошок семейный 140 гр;шт.;4,000;49,72;198,88;
;;;779;Фрукты/Овощи/Зелень/Овощи;Картошка желтая;кг;145,797;28,00;4082,32;
;;;1118706;Сладкое/Шоколадные плитки/пасты;Плитка бабаевский оригинальный 90 гр;шт.;2,000;109,00;218,00;
;;;102881;Химия/Для себя/Салфетки влажные;Салфетки влажные Слипи 120шт;шт.;37,000;114,00;4218,00;
;;;107446;Служебная группа;Туалетная Бумага Зева Плюс 4шт;шт.;5,000;85,00;425,00;
;;;2000999844443;Семечки;Маккофе голд 90 гр;шт.;6,000;236,17;1417,02;
;;;1115717;Напитки/Чай/Кисель;Чай Кежо 200гр Черный с Чабрец;шт.;3,000;300,60;901,80;
;;;1118634;Напитки/Соки;Сок J-7 яблочный  850 мл;шт.;5,000;155,99;779,95;
;;;105592;Служебная группа;Мука Урожаюшка 5кг;шт.;1,000;220,50;220,50;
;;;109028;Одежда/Колготки;Конти Соло 15ден 5-ка;шт.;1,000;155,00;155,00;
;;;2000999844028;Игрушки/Куклы;Кукла с дочкой;шт.;1,000;600,00;600,00;
;;;1180;Напитки/Чай/Кисель;Чай Марьям 100 гр;шт.;19,000;115,00;2185,00;
;;;2000999844232;Сладкое/Вафли/Зефир;Пироженое львенок алекс;шт.;19,000;92,63;1759,97;
;;;1119450;Напитки/Соки;Айс кофе маккиат жб 0.25 мл;шт.;10,000;69,83;698,33;
;;;329;Весовые товары/Мясное;Конфеты Мама приехала;кг;3,828;414,00;1584,79;
;;;1119109;Посуда;Протеиновый десерт кейк манго;шт.;6,000;102,00;612,00;
;;;1118370;Химия/Для себя/Шампунь;Шампунь SONATO NEO 400 мл;шт.;14,000;89,75;1256,50;
;;;1118424;Чипсы;Начос 150 гр сметанный соус ранч;шт.;3,000;108,98;326,94;
;;;2000999844169;Сладкое/Батончики/бисквиты/Батончики/Пирожные;Чупа чупс кислый микс 11 гр;шт.;33,000;3,34;110,06;
;;;1118578;Сигареты;Одноразовые пакеты рулон;шт.;17,000;105,00;1785,00;
;;;2000999844023;Игрушки;Кукла милая малышка;шт.;1,000;1850,00;1850,00;
;;;1118218;Химия/Для себя;Ватные диски аура 80 шт;шт.;4,000;52,02;208,08;
;;;1116256;Продукты Питания;Колбаса Султановская маленькая;шт.;24,000;85,00;2040,00;
;;;100926;Сладкое/Мармелад/Драже/Карамель/Мармелад;бонди мармелад 30гр ассорти вкусов;шт.;5,000;12,11;60,55;
;;;1189;Напитки/Чай/Кисель;Чай Джихан 450 гр цейлон Синий;шт.;4,000;560,00;2240,00;
;;;2000999844300;Детские товары;Бутылочка для кормления ем комотомо;шт.;1,000;1500,00;1500,00;
;;;1119403;Игрушки;Фламинго маленький;шт.;3,000;200,00;600,00;
;;;1119740;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Булгур корона кавказа 700 гр;шт.;5,000;62,00;310,00;
;;;109491;Напитки/Соки;Акапелла 0.5 груша;шт.;5,000;76,64;383,18;
;;;1118448;Химия/Для себя;Филлер для волос;шт.;60,000;28,00;1680,00;
;;;99162;Сладкое/Прочее/Милка;Плитка Милка МММакс 300гр Чоко Бисквит;шт.;2,000;335,00;670,00;
;;;104712;Служебная группа;Зефир В Шоколаде 0.6г Сам Конди;шт.;2,000;223,00;446,00;
;;;9965;ДЛЯ КАССЫ/Подгузники;Тапочки 4;шт.;4,000;600,00;2400,00;
;;;984;Весовые товары/Драже;Конфеты Элит в темном шок;кг;6,000;526,00;3156,00;
;;;1118990;Продукты Питания/Консервы/Мясо;Сайра тихоокеанская 250 гр;шт.;7,000;169,00;1183,00;
;;;119;Весовые товары/Конфеты;Конфеты Фрутланди Манго/Апельсин и Лимон;кг;9,250;255,50;2363,38;
;;;1116303;Продукты Питания/Молочка/Сметана/Творог;Творог Экспонента вишня 250 гр;шт.;4,000;168,50;674,00;
;;;1117716;Сладкое/Батончики/бисквиты;Пончик улькер донат;шт.;11,000;29,71;326,79;
;;;1117614;Напитки/Соки;Стом Вишня 0.3;шт.;4,000;52,89;211,56;
;;;1118357;Продукты Питания/Варенье/Джем/Повидло и т.п.;Джем махеев апельсиновый;шт.;3,000;179,20;537,60;
;;;1118770;Игрушки;Машинка на листе 2 шт;шт.;10,000;58,00;580,00;
;;;2000999844223;Детские товары;Детская пенка Бимуника;шт.;3,000;265,00;795,00;
;;;1118339;Служебная группа;Духи мужские Д20 100 мл;шт.;4,000;329,00;1316,00;
;;;9644;Сладкое/Прочее/Милка;Плитка Милка МММакс 300гр Миндаль и карамель;шт.;3,000;345,00;1035,00;
;;;1117017;Электроника;Аукс простой;шт.;19,000;80,00;1520,00;
;;;1118986;Продукты Питания/Консервы/Мясо;Тунец морская держава 240 гр;шт.;1,000;136,50;136,50;
;;;105926;Служебная группа;Киндер Макси х4 84гр;шт.;10,000;190,00;1900,00;
;;;104827;Чипсы;Сол Джамиля Помидоры 1.5л;шт.;3,000;300,00;900,00;
;;;1117262;Сладкое/Батончики/бисквиты/Батончики/Пирожные;Леденец токсик 42 гр красная;шт.;11,000;102,00;1122,00;
;;;1119703;Детские товары;Держатель для соски;шт.;2,000;250,00;500,00;
;;;97905;Химия/Для себя/Полость рта;Зубная щетка Глистер Амвей;шт.;2,000;220,00;440,00;
;;;108400;Электроника/Гаджеты;Кабель ИРА23;шт.;2,000;300,00;600,00;
;;;1115702;Сладкое/Домашняя выпечка;Пирог Молочный Азбука Вкуса;шт.;2,000;670,00;1340,00;
;;;110694;Продукты Питания/Павильное Питание;Шок Кофе 50гр;шт.;1,000;64,34;64,34;
;;;2000999844208;Детские товары;Экстракт для купания Лилу с календулой;шт.;4,000;205,00;820,00;
;;;103630;Напитки/Соки;Акапелла 0.5 Гранат;шт.;5,000;75,27;376,35;
;;;23;Фрукты/Овощи/Зелень/Зелень;Пекинка;кг;35,605;92,81;3304,66;
;;;101963;Химия/Для себя/Мыло;Мыло Камай франц 85гр;шт.;16,000;42,00;672,00;
;;;1119603;Электроника/Гаджеты;Коврик кухонный;шт.;4,000;120,00;480,00;
;;;84;Весовые товары/Мясное;Башаров Сервелат Мускатный фиброуз;кг;0,010;665,00;6,65;
;;;103392;Фрукты/Сухофрукты;Манго 300гр Аль Ихляс;шт.;5,000;120,00;600,00;
;;;95954;Сигареты;Камель Оригинал 1913;шт.;3,000;200,00;600,00;
;;;103901;Химия/Бытовая химия/Порошки;Порошок Продокса для цветного 3кг;шт.;1,000;355,00;355,00;
;;;2000999844057;Жевачка;Орео завтрак 350 гр;шт.;1,000;550,00;550,00;
;;;107614;Сладкое/Печенье/Пряники;Крекер Классические 350гр Яшкино;шт.;2,000;73,60;147,20;
;;;1271;Сладкое/Прочее;Круассаны 300гр 7 DAYS;шт.;30,000;130,00;3900,00;
;;;96313;Продукты Питания/Морепродукты;Сельдь 400гр Мое море;шт.;2,000;206,40;412,80;
;;;102439;Напитки/Чай/Кисель;Чай Азер с клубникой 25 пакетиков;шт.;2,000;88,00;176,00;
;;;99954;Масла/Масла сливочные;Масло сливочное чабан 380гр 72.5пр;шт.;8,000;350,00;2800,00;
;;;103404;Чипсы/Лейс;Лейс 70гр Зеленый лук;шт.;14,000;64,00;896,00;
;;;2000999844176;Сладкое/Прочее/Турецкие сладости;Печенье крембер мах с глазурью 73 гр;шт.;34,000;38,39;1305,41;
;;;1116552;Сладкое/Шоколадные плитки/пасты;Милка Круасан 50 гр;шт.;10,000;100,00;1000,00;
;;;1119082;Сладкое/Мармелад/Драже/Карамель/Мармелад;Мармелад 13 гр мозги;шт.;72,000;11,00;792,00;
;;;1118657;Продукты Питания/Морепродукты;Крабовые палочкиМирамар 200гр;шт.;2,000;79,99;159,98;
;;;1118756;Игрушки/Машинки;Антистресс в стакане;шт.;3,000;85,00;255,00;
;;;2000999844454;Для дома/Салфетки;Влажные салфетки бамбалфл 120 шт;шт.;8,000;110,00;880,00;
;;;1119144;Продукты Питания/Консервы/Мясо;Сардина Иваси 250 гр;шт.;4,000;75,19;300,76;
;;;96997;Детские товары;Подгузники Хаггис девочкам 5 64шт;шт.;2,000;1040,00;2080,00;
;;;1118741;Игрушки;Браслет шт;шт.;2,000;110,00;220,00;
;;;2000999844168;Сладкое/Батончики/бисквиты/Батончики/Пирожные;Бэби фокс с фундуком 45 гр;шт.;30,000;43,70;1311,00;
;;;111472;Сладкое/Домашняя выпечка;Баранки 300гр Николаевские яичные;шт.;9,000;76,17;685,53;
;;;1217;Напитки/Кофе/Какао/Сливки/Кофе;Кофе Арабика 100гр Кофейня;шт.;2,000;400,00;800,00;
;;;2000999844230;Детские товары;Екосан гель для посуды яблоко;шт.;1,000;287,00;287,00;
;;;110727;Электроника;Лампа 65вт Космос;шт.;1,000;362,83;362,83;
;;;1119080;ДЛЯ КАССЫ/Леденцы;Дирол фреш;шт.;2,000;42,00;84,00;
;;;1119736;Продукты Питания/Крупы/Макароны/Хлопья/Крупы;Гречка корона кавказа 700 гр;шт.;4,000;44,00;176,00;
;;;98766;ДЛЯ КАССЫ/Посуда;Кукла ангел свет;шт.;1,000;1100,00;1100,00;
;;;103677;Химия/Для себя/Мыло;Гель-мыло Хозяйственное 0.5кг Веста;шт.;8,000;125,00;1000,00;
;;;1118870;Химия/Ароматная;Помада гигиеническая ево;шт.;4,000;67,75;271,00;
