Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,2000999844393,Химия/Для себя/Полость рта,Аэрозоль с блоком свежесть утра 269 мл,шт.,1,652.36,0
,,,103051,Сладкое/Домашняя выпечка,Торт нарезной Пинчерс Азбука Вкуса,шт.,2,420,505
,,,1118405,Игрушки,Вентилятор,шт.,8,1900,2500
,,,98284,Химия/Бытовая химия,Ваниш 1л Белое/Цветное без хлора,шт.,2,269,335
,,,1118796,Канцтовары,Альбом 20л,шт.,1,45,85
,,,107397,Семечки,Арахис в Скорлупе 160гр Томас Греен,шт.,12,75,100
,,,101136,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Соус Махеев 200гр Бургер - Соус,шт.,7,79.14,105
,,,103449,Напитки/Соки,Алоэ Вера 0.5л Бест,шт.,12,43.09,60
,,,1117112,Чипсы,Лэйс Stix сырный соус 50гр,шт.,16,72,115
,,,106235,Электроника,Батарейки Камелион СР2450,шт.,1,165,210
,,,100743,ДЛЯ КАССЫ/Кухня,Сосиски говяжьи 300 гр Сатурн,шт.,4,181,218
,,,105435,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Сахар Краснодарский Край 10кг,шт.,4,630,756
,,,85,Весовые товары/Мясное,Башаров сосиски Чеченские Халял,кг,0.0569999999999999,467,567
,,,2000999843978,ДЛЯ КАССЫ/Аксессуары,Кабель ДК-21,шт.,2,250,350
,,,101201,Сладкое/Прочее/Милка,Милка Плитка 270гр Фундук и Изюм,шт.,5,345,415
,,,1118815,Для дома,Рогатка,шт.,3,100,150
,,,99773,Сладкое/Мармелад/Драже/Карамель/Мармелад,Мармелад Фрутелла 70гр 2,шт.,1,75.7,100
,,,1119038,ДЛЯ КАССЫ/Посуда,Коврик силиконовый маленький,шт.,4,155,235
,,,1119569,Сигареты,Прожектор космос,шт.,3,563.31,685
,,,1118452,Посуда,Ложка моя цена 12 шт,шт.,5,19.59,45
,,,106871,Хлеб/Фаст Фуд,Сэндвич  квадрат,шт.,117,120,150
,,,10,Фрукты/Овощи/Зелень/Овощи,Свекла,кг,6.346,39.7727272727273,75
,,,2000999844074,Продукты Питания/Консервы/Зелень,Грибы Шампиньоны резаные 850 гр,шт.,5,173.25,210
,,,2000999844308,Детские товары,Пустышка латекс,шт.,1,131,165
,,,2000999844387,Химия/Для себя/Полость рта,Зубная паста мое солнышко тутти-фрутти 100 гр,шт.,5,66.74,0
,,,107636,Масла/Масла подсолнечные/оливковое,Масло Мамруковское 2л,шт.,1,270.68,325
,,,102955,Масла/Масла подсолнечные/оливковое,Масло Слобода 1 л Кукурузное,шт.,2,236.9,275
,,,2000999844001,ДЛЯ КАССЫ/Аксессуары,Батарейки дюрасел х15,шт.,6,80,120
,,,1119345,Химия/Для себя/Крем,Крем гель для душа я самая,шт.,4,148.05,175
,,,95310,Напитки/Соки,Фанта 0.9л,шт.,22,66.6666666666667,110
,,,1119181,Химия/Для себя,Кусачки 318,шт.,9,50,80
,,,99770,ДЛЯ КАССЫ/Леденцы,ЧЧ мини 10.5гр,шт.,82,13,25
,,,1115969,Сладкое/Конфеты/Печенья упаковки,торт нарезной тирамису,шт.,1,420,505
,,,1118512,Химия/Ароматная,Армотизатор воздуха гоный бриз 250 мл,шт.,1,106.02,136
,,,99896,Напитки/Соки,Сок Добрый Манго - Маракуйя 1.5л,шт.,6,84.4555555555556,125
,,,1119575,Служебная группа,Роллер набор,шт.,6,150,235
,,,1118876,Химия/Бытовая химия,Освежитель воздуха 300 мл,шт.,16,316.14,379
,,,101660,Сладкое/Прочее/Готовый завтрак (Хлопья),Любятово Хлопья кукурузные 270гр,шт.,1,125,155
,,,323,Весовые товары/Выпечка,Крекер фигурный рыбки с солью 6мес (Альфа) 149дн,кг,3.252,150,215
,,,95307,Напитки/Соки,Спрайт 2л,шт.,18,141.666666666667,190
,,,1118656,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Сладкий чили Махеев 230 гр,шт.,1,76.05,100
,,,96972,Продукты Питания/Молочка/Йогурт/Пудинг,Сырок Дарман 40гр,шт.,257,46,56
,,,2000999844352,Химия/Для себя,Сильвер губка для замши-нубука,шт.,6,140,175
,,,103697,Сладкое/Конфеты/Печенья упаковки,Пышка - хвастунишка со сгушенкой 1кг,шт.,3,351,425
,,,1119294,Продукты Питания/Молочка/Йогурт/Пудинг,Актибио питьевой вишня 260 гр,шт.,4,55.99,97
,,,1119753,Сладкое/Прочее/Орео,Ханута ригель 172 гр,шт.,3,345,415
,,,2000999843973,Химия/Для себя,Аромасвеча в квадратном стакане,шт.,3,280,450
,,,98679,Химия/Бытовая химия/Порошки,Порошок Чайка 3кг,шт.,2,265,325
,,,1276,Сладкое/Прочее,Мини маффины 465гр РУССКИЙ БИСКВИТ,шт.,9,121.25,150
,,,94812,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Макароны Марва 900гр  Бантики,шт.,1,63,88
,,,107787,Детские товары,Черноголовка Кола 1л,шт.,5,68.75,95
,,,2000999843987,ДЛЯ КАССЫ/Аксессуары,Кабель Х-51,шт.,3,85,200
,,,5273,ДЛЯ КАССЫ/Прочее.,Мыло Хозяйственное 300гр 72пр,шт.,23,37,55
,,,108950,Электроника,Батарейки Кодак ААА 4 черн,шт.,1,139.76,180
,,,2000999844342,ДЛЯ КАССЫ/Химия,Для мытья посуды Амвэй1 л,шт.,2,620,745
,,,105606,Чипсы,Мега чипсы 50гр Грибы и Сметана,шт.,4,50,75
,,,107219,Напитки/Соки,Арза 0.5л Газ стекло,шт.,12,54.1666666666667,75
,,,101339,Посуда,Терка черная,шт.,3,400,485
,,,100232,Химия/Бытовая химия,Антизасор буровой 1кг,шт.,3,185.04,225
,,,95361,Напитки/Соки,Мохито фреш 0.45л,шт.,41,52.0833333333333,85
,,,1118564,Химия/Для себя/Бритвы,Кусачки 2,шт.,3,250,260
,,,1119598,Химия/Для себя,Ролик  для одежды,шт.,6,80,130
,,,1119695,Продукты Питания/Молочка/Сыр/Копченый Сыр,Белый медведь твороженная масса 180 гр,шт.,2,75,100
,,,97804,Электроника,Батарейки Кодак АА 4 Зинк,шт.,7,57.48,85
,,,97535,Напитки/Кофе/Какао/Сливки/Кофе,Кофе Голден игл 3 в 1 48порций,шт.,7,514,616
,,,2000999844110,Сладкое/Конфеты/Печенья упаковки,Конфеты чоко брейк 300 гр,шт.,7,221.75,278
,,,110448,Продукты Питания/Консервы/Зелень,Сахар Сладкий 1кг Здоровые Сладости,шт.,8,422.87,507
,,,1119007,ДЛЯ КАССЫ/Посуда,Чайник заварочный 1 л,шт.,5,500,985
,,,100634,Напитки/Соки,Сок Добрый Лимон - Лайм 0.5л,шт.,1,57.875,85
,,,2000999844065,Чипсы,Для пыли щетка,шт.,2,380,420
,,,1119035,ДЛЯ КАССЫ/Посуда,Нож см7089,шт.,8,100,150
,,,95269,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Батончик сникерс лесной орех 81 гр,шт.,2,79.99,105
,,,1116527,Сладкое/Конфеты/Печенья упаковки,Печенье овсяное с шоколадом 340 гр Петродиет на фруктозе,шт.,3,173.78,215
,,,1118217,Химия/Для себя,Ватные диски аура,шт.,8,88.02,115
,,,1118447,Химия/Для себя,Крем против морщин 20 гр,шт.,5,65,285
,,,2000999844219,Детские товары,Екосан гель для стирки 2 л,шт.,2,497,592
,,,2000999844361,Химия/Для себя,Таблетка-очиститель для сливного бочка,шт.,3,56,80
,,,109753,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Крупа Кукурузная 5пак Увелка,шт.,2,79.99,100
,,,2000999844170,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Чупа чупс кола 11 гр,шт.,49,3.335,7
,,,1118134,Химия/Для себя/Крем,Крем от шрамов и рубцов,шт.,5,60,250
,,,2000999844157,Чипсы,Корнерсы вяленые томаты 50гр,шт.,12,46.49,75
,,,105035,Служебная группа,Русская Картошка ассорти 105г,шт.,8,127.64,158
,,,1119198,ДЛЯ КАССЫ/Кухня,Ушки пельмени с мясом мерз даар,шт.,1,400,485
,,,97129,Сладкое/Домашняя выпечка,Наполеон нарезной Азбука вкуса,шт.,2,255,308
,,,1009,Продукты Питания/Консервы/Мясо,Мармелад Домашний Альфа,кг.,6,230,298
,,,2000999844237,Детские товары,Соска будь здоров,шт.,1,54,85
,,,96267,Для дома,Перчатки резиновые Роза,шт.,80,33,55
,,,163,Весовые товары/Выпечка,Печенье Юбилей кубани Кузнецов 6мес (Альфа) 119дн,кг,2.58,143.333333333333,207
,,,99091,Напитки/Вода,Серноводская 9л,шт.,34,111.12,145
,,,331,Весовые товары/Вафли вес,ИХ Сушки Малютка с Маком (Альфа),кг,2.746,220.666666666667,287
,,,111495,Продукты Питания/Быстрое питание,Чан Рамен 120гр,шт.,83,63,83
,,,1119749,Сладкое/Мармелад/Драже/Карамель,Кит кат с темным шоколадом 41 гр,шт.,23,66,90
,,,1118883,Продукты Питания/Павильное Питание,Яйцо с подарком 70 гр,шт.,1,254.833333333333,330
,,,1119257,Кошачьи товары,Ошейник био для кошек,шт.,1,170,220
,,,98106,Напитки/Соки/Энергетик,Пиво безалкогольное Балтика 0.47 стекло,шт.,72,54.1666666666667,90
,,,106999,Продукты Питания/Павильное Питание,Заменитель Сахара Фит8 Синий 180гр,шт.,4,298.99,357
,,,934,Фрукты/Овощи/Зелень/Фрукты/Ягоды,Королек,кг,14.426,85.4700854700855,185
,,,1071,Весовые товары/Выпечка,Кекс Красный Бархат (Альфа),кг,2.5,264.4,345
,,,817,Весовые товары/Мясное,АМ Колбаса Грозненская,кг,4.098,475.012406947891,575
,,,1119244,Фрукты/Овощи/Зелень/Фрукты/Ягоды,Смесь Мехико 400 гр,шт.,1,125.32,150
,,,1117812,Одежда/Носки/Гольфы,Носки найк муж,шт.,44,42,100
,,,96728,Продукты Питания/Консервы/Зелень,Пикули 720мл Практик,шт.,33,244.166666666667,294
,,,1119418,Весовые товары/Мясное,Шоколад Аленка с арахисом 70 гр,шт.,4,87.048,135
,,,97250,Продукты Питания/Молочка/Сметана/Творог,Творог классичечкий Савушкин 300гр 5пр,шт.,2,121.2,147
,,,1118172,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис Мистраль по турецки 500 гр,шт.,3,101.26,127
,,,2000999844052,Жевачка,Супер приз киндер,шт.,4,100,150
,,,1117496,Жевачка,Жвачка бебето 36 гр,шт.,1,70.29,100
,,,99062,Детские товары,Подгузники Хаггис Элит Софт 4 66шт,шт.,7,1080,1290
,,,96221,Продукты Питания/Молочка/Сметана/Творог,Сметана Простоквашино 300гр 20пр,шт.,2,145,175
,,,2000999844116,Химия/Для себя/Прокладки,Влажные салфетки Софиес орхидея 120 шт,шт.,10,80,125
,,,1118742,Продукты Питания/Павильное Питание,Леденец со вкусом капучино,шт.,1,98,130
,,,1118525,Сладкое/Конфеты/Печенья упаковки,Печенье половинки с арахисом 50 гр,шт.,11,30.845,45
,,,110249,Напитки/Соки,Стом 0.5л Мультифрукт,шт.,2,80.85,105
,,,107389,Сладкое/Мармелад/Драже/Карамель,Жвачка Хэлло Китти 25г,шт.,7,14.88,25
,,,1118605,Электроника,Прожектор 10 вт космос,шт.,5,187.884,250
,,,2000999844332,Электроника/Гаджеты,Часы смарт х,шт.,1,2250,3200
,,,1118556,Химия/Для себя/Шампунь,Металлическая подставка для телефона,шт.,2,310,450
,,,2000999844348,Химия/Для себя,Сильвер пена-очиститель для кроссовок,шт.,2,320,387
,,,1115728,Напитки/Соки,Золотая Жизнь 0.3мл,шт.,55,33.3333333333333,50
,,,2000999844022,Игрушки,Кукла принцесса лио,шт.,2,700,1200
,,,2000999844141,Напитки,Ачалуки 1.5 л груша,шт.,17,24.4444444444444,55
,,,1119122,Детские товары,Фруто няня компот 0.2 мл,шт.,21,38.6111111111111,58
,,,109527,Химия/Ароматная,Мармелад Бебето 80гр,шт.,16,93.68,125
,,,2000999844205,Детские товары,Бутылочка сказка 260 мл стекло,шт.,5,370,485
,,,195,Весовые товары/Мясное,Кумк Колбаса чесночная,кг,0.324,549.798115746972,678
,,,101373,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Сода пищевая 500г,шт.,12,41.6666666666667,58
,,,98555,Детские товары,Подгузники Хелен Харпер Софт энд Драй 6 40шт,шт.,7,645,775
,,,1118750,Игрушки,Мяч резиновый маленький,шт.,6,55,90
,,,105545,весовые 1/Мясное1,Ассорти 0.7кг (Сладость),шт.,1,240,290
,,,99731,Сладкое/Прочее/Готовый завтрак (Хлопья),Шоколадные шарики 400гр Леонардо,шт.,1,127.65,157
,,,106803,Детские товары,Бутылки 300мл гросвиви,шт.,2,260,315
,,,104148,Служебная группа,Тема детский творожок 95гр,шт.,11,39.2,53
,,,96965,Продукты Питания/Молочка/Молоко/Кефир/Сливки,Молоко Дарман 1400мл 3.5-4.5пр,шт.,2,170,205
,,,2000999844111,Химия/Для себя/Салфетки влажные,Влажные салфетки Леди 120 шт,шт.,11,79,120
,,,1118867,Химия/Ароматная,Зубная паста сенситив 100 мл,шт.,1,187.82,225
,,,713,Весовые товары/Конфеты,Конфеты Бочки Жако,кг,4.19,464.285714285714,556
,,,1118115,Сладкое/Мармелад/Драже/Карамель,Карамель лазер,шт.,11,11.3,20
,,,2000999843944,Игрушки,Пистолет черный мал,шт.,7,40,75
,,,97017,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Батончик Албени 55гр Улкер,шт.,8,43,57
,,,2000999844299,Детские товары,Судокрем125 гр,шт.,4,350,418
,,,1119026,ДЛЯ КАССЫ/Посуда,Кружка сито,шт.,2,220,325
,,,98754,Сушеные Рыба/Говядина,Ставридка 40гр Астраханкина,шт.,5,97.75,127
,,,2000999844277,Детские товары,Порошок для стирки мепси 2.4 кг,шт.,2,400,515
,,,101336,Посуда,Овощерезка Арт 136,шт.,3,330,750
,,,1118853,Химия/Ароматная,Маршмеллоу 60 грмм,шт.,12,78.09,110
,,,98745,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис Индийский Тамаша 1 кг,шт.,4,200,240
,,,111430,Напитки/Соки,Гуниб 0.5л Ананас,шт.,15,78.24,105
,,,110021,Служебная группа,Батончик Нут-Го 50гр с клюквой Глаз,шт.,4,25.645,45
,,,1119110,Посуда,Протеиновый десерт кейк кокос,шт.,1,96,125
,,,1118817,Напитки/Соки/Энергетик,Энергетик болд жб 0.250мл,шт.,121,72.9,97
,,,105568,Детские товары,Салфетки Влажные Я Самая 15шт,шт.,10,20.5,35
,,,107680,Продукты Питания/Крупы/Макароны/Хлопья,Супер Клей 3гр Сити Уп,шт.,26,12.5,20
,,,1118474,Электроника,Фейзфулл турбо,шт.,4,390,600
,,,1105,Весовые товары/Вафли вес,Печенье Царская Коллекция декор (Альфа),кг,1.426,223.666666666667,298
,,,103864,Напитки/Соки/Энергетик,Пиво безалкогольное Бад 0.45л ЖБ,шт.,15,60.4166666666667,90
,,,97987,Химия/Для себя/Прокладки,Прокладки ОЛА для обил. выд. в индивид. уп. 8шт,шт.,3,80.56,110
,,,2000999844020,Посуда,Гель для стирки Стиралити 1 л,шт.,2,210,385
,,,106660,Сладкое/Конфеты/Печенья упаковки,Творожное 430гр (Морозов),шт.,4,99.66,130
,,,1118857,Служебная группа,Пакеты солнышко,шт.,17,15,40
,,,98877,Чипсы/Лейс,Лейс 140гр Зеленый лук,шт.,80,115.79,150
,,,108912,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Булгур 700гр Исмаил,шт.,7,69,95
,,,1119333,Химия/Машинный отдел,Бумага туалетная вива 4 рулона,шт.,3,75,107
,,,2000999844147,Продукты Питания/Крупы/Макароны/Хлопья,Геркулес корона кавказа 600 гр,шт.,4,32,50
,,,2000999844071,Напитки/Соки,Зубная паста 175 гр,шт.,5,60.1,115
,,,1118289,Игрушки,Игрушка Хельга 2141,шт.,1,260,450
,,,98715,Чипсы/Лейс,Лейс 140гр Ребрышки Гриль,шт.,48,113.157894736842,150
,,,102513,Сладкое/Домашняя выпечка,Пирог половинка Азбука Вкуса,шт.,9,355,426
,,,108683,Химия/Для себя/Шампунь,Шампунь Клеар 400мл Мужской,шт.,60,150,270
,,,2000999844280,Детские товары,Каша наинз 200 гр,шт.,4,135,165
,,,173,Весовые товары/Выпечка,Печенье топленные берега 8мес (Альфа),кг,2.608,197.111111111111,275
,,,99723,Продукты Питания/Молочка/Молоко/Кефир/Сливки,Молоко Кубанская Буренка 950гр 2.5пр,шт.,6,99.99,130
,,,1117015,Электроника,Аукс 27,шт.,3,190,350
,,,30,Фрукты/Овощи/Зелень/Фрукты/Ягоды,Шишбурун,кг,9.009,122.222222222222,185
,,,1119351,Химия/Для себя/Полость рта,Пакеты фасовочные 50 шт,шт.,10,67.99,100
,,,102171,Продукты Питания/Павильное Питание,Мюсли 350гр с тропическими фруктами ОГО,шт.,5,134.13,162
,,,1119437,Сладкое,Мед цветочный 1 кг,шт.,2,215.99,310
,,,97550,Детские товары,Подгузники Хаггис Элит Софт 2 82шт,шт.,3,950,1150
,,,1118483,Сухарики,Гренки крутой окер сметана 65 гр,шт.,2,29.3,45
,,,100383,Напитки/Чай/Кисель,Чай Гринфилд 100пак Эрл Грей Фантази,шт.,4,240,294
,,,2000999844072,Сладкое/Конфеты/Печенья упаковки,Печенье Простоквашино 240 гр,шт.,3,91.9983333333333,150
,,,104091,Кошачьи товары,Спирали го-ут от комаров 10спир,шт.,19,65,100
,,,1119046,Химия/Бытовая химия,Гель Грасс отбеливание 750 мл,шт.,4,150.3,180
,,,1118991,Продукты Питания/Консервы/Мясо,Тунец натуральный 250 гр,шт.,2,126.5,160
,,,104832,Чипсы,Соленья капуста  от Джамили 500гр,шт.,5,130,190
,,,110705,Обувь,Ханута Минис 200гр,шт.,5,428,515
,,,1118698,Химия/Для себя/Полость рта,Зубная паста жемчууг семь трав 100 мл,шт.,5,62,87
,,,1119496,Химия/Для себя/Шампунь,Пилка железная зингер,шт.,4,75,110
,,,1118354,Служебная группа,Духи женские Баккарат красный 70 мл,шт.,7,299,2350
,,,98221,Семечки,Семечки с солью 150гр Крутой Окер,шт.,3,71.7,95
,,,96283,Химия/Для себя/Бритвы,Лезвия Жиллетт 5 шт,шт.,59,28,48
,,,99515,Детские товары,Беби Каша 3 злака с яблоком и ромашкой 200гр,шт.,1,205,246
,,,1119306,Весовые товары/Конфеты,Аленка печенье сдобное 200 гр,шт.,3,157.46,200
,,,1118542,Весовые товары/Драже,Драже чебурашка 35 гр,шт.,17,25,40
,,,107365,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис Дарман 800г Экстра,шт.,1,98,123
,,,2000999844186,Сладкое/Прочее/Милка,Спрей огнетушитель 55 мл,шт.,19,33.02,50
,,,109980,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис Кизлярский 1000гр Цолода,шт.,3,81.6666666666667,110
,,,1119587,Для дома,Рулетка 10 м,шт.,6,180,300
,,,110630,Чипсы,Чипсы Лит Энержи 120гр,шт.,106,97,145
,,,2000999844046,Жевачка,Мега яйцо 93 гр,шт.,4,180,250
,,,1118499,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Соевый соус -крем 140 гр,шт.,5,75.69,100
,,,1118661,Напитки/Вода,Минеральная вода Нарзан 1 л,шт.,3,61.59,0
,,,1118611,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр хохланд 50 гр,шт.,12,38,50
,,,1117260,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Леденец токсик 42 гр желтая,шт.,9,102,135
,,,102338,Продукты Питания/Консервы/Мясо,Сельдь в Т/С 185гр За Родину ключ,шт.,3,110.57,140
,,,111069,Фрукты/Овощи/Зелень/Фрукты/Ягоды,Чай Азер с Лесной Ягодой 25 пакетиков,шт.,6,88,116
,,,1116074,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр кабардинский 600 гр рассольный,шт.,3,305.8,412
,,,1119500,Напитки/Соки,Влажные салфетки комфорт 90 шт,шт.,12,103,130
,,,1118739,Игрушки/Пистолеты/Мячи,Металл Rolls-royce,шт.,1,165,265
,,,1119215,Химия/Для себя/Полость рта,Зубная щетка когейт 360 гр,шт.,8,35,60
,,,1118733,Игрушки/Пистолеты/Мячи,Гелик заводной,шт.,1,195,300
,,,100053,Химия/Бытовая химия,Аэрозоль от насекомых 150мл Чистый дом,шт.,5,140,180
,,,100595,Продукты Питания/Молочка/Йогурт/Пудинг,Йогурт Эпика 130гр 6пр,шт.,8,57.58,82
,,,2000999844383,Химия/Бытовая химия/Порошки,Прокладки дискрет урологические,шт.,12,210,0
,,,105071,Посуда/Средство для мытья посуды,Салфетки 5шт МФ-12,шт.,9,98,125
,,,102760,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Батончик Кит - Кат 41.5гр,шт.,14,66,90
,,,110584,Сладкое/Прочее/Милка,Плитка Казахстанский 100гр,шт.,26,166.863636363636,197
,,,106613,Фрукты/Овощи/Зелень/Овощи,Помидор Черри шт,шт.,25,180,252
,,,101263,Химия/Ароматная,Пинчерс большой,шт.,2,235,290
,,,102378,Продукты Питания/Консервы/Зелень,Шампиньоны 425гр Кормилица,шт.,3,106.65,132
,,,102275,Сладкое/Мороженое,Мороженое Слиток золотой,шт.,12,140,110
,,,2000999843974,Химия/Для себя,Аромасвеча  с черной наклейкой,шт.,12,100,150
,,,97148,Чипсы,Русская картошка 200гр РУССКАРТ,шт.,11,193.655,238
,,,1119583,Посуда/Средство для мытья посуды,Автогубка серая,шт.,4,150,250
