Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,102948,Детские товары,Беби Каша рисовая 200гр,шт.,9,166.67,210
,,,103737,Электроника/Гаджеты,Наушники М98,шт.,4,190,300
,,,1119006,ДЛЯ КАССЫ/Посуда,Чайник магнум 1.2 л,шт.,2,880,1255
,,,106212,Продукты Питания/Молочка/Йогурт/Пудинг,ЛактоГурт 0.7г Злаки,шт.,1,120,145
,,,1115560,Сладкое/Домашняя выпечка,Дубайский Шоколад Мискитс,шт.,2,290,525
,,,1119192,Напитки/Вода,Сырок протен 50 гр,шт.,1,81.375,98
,,,44,Фрукты/Овощи/Зелень/Овощи,Редька,кг,7.956,80,120
,,,1118692,Напитки/Соки,Зубная паста Тотал 100 гр,шт.,5,158,190
,,,101611,Для дома,Клей Монолит 3гр,шт.,61,15,20
,,,1119646,Игрушки,Пистолет шот,шт.,5,180,300
,,,1119196,Детские товары,Фруто няня молочная каша,шт.,4,111.428571428571,148
,,,1118655,Напитки/Соки,J7 кактус лайм 385 мл,шт.,1,88.79,135
,,,1118434,Служебная группа,Увлажняющий крем для рук 100 мл,шт.,12,89,300
,,,1119458,Продукты Питания/Быстрое питание,Лапша 110 гр Чампонг,шт.,6,142,173
,,,2000999844013,Служебная группа,Вискас для котят 75 гр,шт.,5,26.99,35
,,,1117310,Чипсы,Читос 130 гр,шт.,1,145,180
,,,9968,ДЛЯ КАССЫ/Подгузники,Тапочки 3-8,шт.,22,600,1000
,,,2000999844302,Детские товары,Гипопо каша тыква 200 гр,шт.,24,120,150
,,,1118898,Продукты Питания/Полуфабрикаты,Кукурузные манты Зарета,шт.,1,220,300
,,,1119363,Сладкое/Вафли/Зефир,Плитка Бэби фокс 90 гр арахис,шт.,10,116.15,142
,,,104861,Сушеные Рыба/Говядина,Стакан Гренки Мексиканские Приятности 130г,шт.,41,66,95
,,,99945,Детские товары,Подгузники Есс беби джамбо джуниор (6-ка) 36шт,шт.,1,565,678
,,,2000999844025,Игрушки,Кукла свет бэби,шт.,1,1,1250
,,,1116336,Сладкое/Вафли/Зефир,Мега Маршмелоу со вкусом арбуза 500 гр Азовчанка,шт.,3,178.1,220
,,,1119277,Сладкое/Шоколадные плитки/пасты,Дубайский шоколад 100 гр 33 пр,шт.,2,320,525
,,,1118824,Напитки/Соки,Фанта жб Япония 300 мл,шт.,1,220,265
,,,1118597,Электроника,Удлинитель космос 3 м,шт.,1,292.33,360
,,,100723,ДЛЯ КАССЫ/Кухня,Сардельки говяжьи 330 гр Сатурн,шт.,3,202,248
,,,1119745,Весовые товары/Выпечка,Набор печенюшек 0.600гр Сладость,шт.,2,200,250
,,,96413,Продукты Питания/Павильное Питание,Хлебцы Dr.Korner 100гр Гречневые,шт.,1,68.99,97
,,,1119382,Сладкое/Конфеты/Печенья упаковки,Дубайский шоколад с кадаифом 95 гр,шт.,2,415.13,585
,,,106122,Сладкое/Шоколадные плитки/пасты,Плитка Яшкино с Взрыв карам 90 гр,шт.,4,94.3,120
,,,97160,Сладкое/Домашняя выпечка,Графские развалины Азбука вкуса,шт.,8,355,426
,,,1119271,Служебная группа,Роллтон лапша острая с курицей 90 гр,шт.,14,56.25,72
,,,108451,Химия/Для себя/Салфетки влажные,Салфетки влажные Слипи 100шт,шт.,3,374,448
,,,1118623,Жевачка,Яичница 10 гр,шт.,30,8.45,20
,,,280,Весовые товары/Конфеты,Конфеты Барбара кокос,кг,1.964,391,495
,,,1118690,Химия/Для себя/Мыло,Мыло дуру зеленый чай 4 шт 90 гр,шт.,3,106,135
,,,2000999844202,Детские товары,Гель для посуды мепси 500 мл,шт.,3,164,215
,,,102844,Детские товары,Подгузники Молфикс 4-ка 62шт,шт.,5,590,735
,,,2000999844041,Напитки/Чай/Кисель,Дубайский шоколад 65 гр фундук,шт.,9,250,425
,,,110975,Детские товары,Черноголовка Байкал 2л,шт.,4,113.333333333333,140
,,,100249,Сладкое/Конфеты/Печенья упаковки,Эклерные кольца Азбука Вкуса,шт.,1,235,275
,,,1118980,Продукты Питания/Консервы/Мясо,Туец доброфлот 245 гр,шт.,4,185.9,222
,,,1118997,ДЛЯ КАССЫ/Посуда,Ковш 2 л,шт.,6,43,90
,,,893,Химия/Ароматная,Леди День Чернослив Акконд,кг,2.384,568.5,685
,,,1118753,Игрушки,Слайм с игрушкой 1,шт.,12,62,100
,,,101601,Сладкое,Козинак подсолнечный Азовская,шт.,1,35,55
,,,1116980,Продукты Питания/Полуфабрикаты,Манты с картошкой мерз даар,шт.,6,300,360
,,,1119739,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Булгур с вермишелью корона кавказа 700гр,шт.,5,74,100
,,,98199,Детские товары,Подгузники Меррис 5 50шт,шт.,2,1400,1680
,,,2000999844347,Продукты Питания/Молочка/Йогурт/Пудинг,Йогурт питьевой Чудо 260гр мороженое,шт.,3,59.99,95
,,,939,Весовые товары/Мясное,Кумк Сосиски Мусульманские,кг,0.00400000000000012,429.745889387145,587
,,,98506,Продукты Питания/Молочка/Йогурт/Пудинг,Йогурт питьевой Альпенленд 290гр 1.2пр,шт.,1,60.8333333333333,86
,,,1117905,Сладкое/Мороженое,Простаквашино топленое молоко,шт.,119,57,72
,,,1115659,Напитки/Соки,Сельдь По царски с укропом 400гр,шт.,3,257,309
,,,109627,Служебная группа,Лаваш Лепешки Ссыром 250гр Миссион,шт.,6,93.98,147
,,,2000999844094,Продукты Питания/Консервы/Мясо,Тушенка верблюжатина 0.325 гр,шт.,5,362,435
,,,1119455,Продукты Питания/Быстрое питание,Лапша 110 гр гомпагетти,шт.,8,141,172
,,,96100,Канцтовары,Тетрадь тонкая зел 12л,шт.,2,150,215
,,,99260,Сушеные Рыба/Говядина,Путасу янтарная с перцем 40гр Бирка,шт.,5,48.3,75
,,,105894,Игрушки,Хлопушка 60см,шт.,3,250,300
,,,110789,Напитки/Соки,Рич 0.2л Апе?льсин стекло,шт.,19,92,118
,,,2000999844334,Электроника/Гаджеты,Роутер с впн,шт.,1,2000,2875
