Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,1220,Напитки/Кофе/Какао/Сливки/Кофе,Бушидо 100гр Блэк Катана,шт.,4,860,1045
,,,1117523,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Кетчуп шашлычный авира 850 мл,шт.,8,74.25,100
,,,1119105,Химия/Бытовая химия/Порошки,ДОХА мыло жидкое,шт.,4,108,140
,,,104160,Сладкое/Шоколадные плитки/пасты,Носки Мужские Нисен 41-47р,шт.,9,30,100
,,,1118491,Сладкое/Домашняя выпечка,Чайник старт электрический 2 л,шт.,2,820.95,1200
,,,1119154,Весовые товары/Мясное,Протеиновый маффин с шоколадом,шт.,10,94.286,130
,,,110587,Продукты Питания/Молочка/Йогурт/Пудинг,Даниссимо 130 гр Орех,шт.,1,74.7,85
,,,1119364,Сладкое/Мармелад/Драже/Карамель,Драже бэби фокс 45 гр,шт.,18,43.7,65
,,,102522,Напитки/Соки,Сок Швелл 0.75л Яблоко,шт.,3,142.166666666667,175
,,,1118758,Игрушки/Машинки,Мяч большой,шт.,6,120,170
,,,105891,Игрушки,Фонтан МФ-002,шт.,2,120,170
,,,1119228,Сладкое/Шоколадные плитки/пасты,Плитка степ 80 гр,шт.,5,39.99,80
,,,1119112,Посуда,Протеиновый десерт кейк фисташка,шт.,9,102,135
,,,108321,Сладкое/Мороженое,Русский холод в вафли 80гр,шт.,4,64,80
,,,111345,Продукты Питания/Морепродукты,Форель Филе-Кусок 200гр Балтийский Берег,шт.,1,560,672
,,,94957,Чипсы,Русская картошка 20гр РУССКАРТ,шт.,12,22.72,33
,,,652,Весовые товары/Драже,Драже Арахис в сахаре (Альфа) 3мес,кг,1.5,290.666666666667,362
,,,1115676,Напитки/Соки,Зеленокумские Груша Зелтон ДОРОГОЙ,шт.,124,41.6666666666667,58
,,,539,Весовые товары/Выпечка,Крендельки с Солью D031 (МС),кг,2.872,152.46,215
,,,102698,Продукты Питания/Молочка/Молоко/Кефир/Сливки,Сливки Простоквашино 200гр 20пр,шт.,5,130,157
,,,2000999844275,Детские товары,Порошок для стирки памперс 6 кг,шт.,2,675,845
,,,2000999844407,Медицина,филип морис новый микс,шт.,10,180,
,,,103685,Чипсы,Чипсы Корнерсы 50гр Тайский перец,шт.,21,46.49,75
,,,94862,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис ханский 2кг МАРВА,шт.,1,183,220
,,,106630,Сладкое/Домашняя выпечка,Чизкейк-Творожный Азбука Вкуса,шт.,4,460,552
,,,109471,Напитки/Соки,Квас 1.5л Лакинский,шт.,8,49,75
,,,1119760,Химия/Бытовая химия/Порошки,Перос порошок 3 кг,шт.,2,335,0
,,,1119173,Для дома/Скотч/Изолента,Патрон электрический,шт.,5,64.27,90
,,,2000999844165,Детские товары,Бэби фокс плитка арахис 90  гр,шт.,13,116.15,143
,,,1116543,Продукты Питания/Специи,Кекс 8 Кек 40 гр,шт.,5,33.9583333333333,48
,,,110241,Продукты Питания/Молочка/Йогурт/Пудинг,Йогурт Даниссимо 130гр,шт.,5,47.99,78
,,,95260,Продукты Питания/Консервы/Мясо,За родину килька неразд 240 гр,шт.,1,88.12,115
,,,103336,Сладкое/Прочее/Турецкие сладости,Хеллей Мини 103гр Улькер,шт.,6,149,180
,,,100932,Сладкое/Прочее/Милка,милка бисквит чоко тинс 151гр,шт.,1,320,400
,,,1119179,Весовые товары/Конфеты,Батарейки тямбар,шт.,20,40,65
,,,105588,Служебная группа,Сухарики Кириешки 100гр,шт.,12,27.95,45
,,,109234,Химия/Для себя,Пенка Для Умывания с Щеткой 150мл Вионе,шт.,1,245,312
,,,1118862,Химия/Ароматная,Освежитель воздуха свежесть утра 269 мл,шт.,3,213.725,260
,,,104392,Служебная группа,Печенье Тепленое Молоко (Морозова) 430гр,шт.,5,101.8,126
,,,106113,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Сахар Корона Кавказа 3кг,шт.,1,220,266
,,,1118780,Химия/Для себя/Полость рта,Зубная щетка лмк 8002,шт.,2,109,140
,,,97996,Продукты Питания/Морепродукты,Килька копченная 100гр,шт.,7,32,55
,,,99277,Сладкое/Вафли/Зефир,Вафли Ретро-сладонеж 500гр,шт.,4,172,208
,,,2000999844349,Химия/Для себя,Сильвер краска для замши,шт.,3,260,315
,,,96917,Напитки/Вода,Горная 0.6 Спорт,шт.,11,23.62,35
,,,111190,Сухарики,Яшкино Мини Пай яблочный 180гр,шт.,5,63,83
,,,1119361,Сладкое/Вафли/Зефир,Вафли голландские с вареной сгущенкой 165 гр,шт.,9,62.79,90
,,,105543,весовые 1/Мясное1,Кексы Бруни 190гр,шт.,2,153.11,187
,,,109263,Продукты Питания/Майонез/Кетчуп/Уксус и т.п.,Рисовый Уксус 220мл Сен Сой,шт.,1,90.73,115
,,,96142,Продукты Питания/Крупы/Макароны/Хлопья,Макфа 400гр ассорти,шт.,23,49,72
,,,107537,Напитки/Соки,Сады Природья ябл прямого отжима  1л,шт.,6,103.28,130
,,,9654,ДЛЯ КАССЫ/Прочее.,БМВ упак,шт.,57,158,220
,,,111353,Напитки/Соки,От Мартина 1л Дюшес,шт.,1,80,110
,,,1116026,Электроника/Гаджеты,Тройник 1641 Олесон,шт.,1,470,620
,,,2000999844027,Игрушки/Куклы,Кукла Долли бэби,шт.,2,700,1400
,,,2000999844385,Химия/Для себя/Полость рта,Зубная паста мое солнышко мультивитамин 65 гр,шт.,4,61.82,0
,,,1119282,Сладкое/Прочее/Милка,Милка бантик 99 гр,шт.,6,70,150
,,,1118736,Игрушки/Пистолеты/Мячи,Spider-Man шт,шт.,4,105,200
,,,101594,Напитки/Вода,Серноводская 0.5л спорт,шт.,47,30.03,40
,,,95403,Детские товары,Малыш истринский 2 350гр,шт.,4,310,372
,,,102191,Семечки,Горошек зеленый 425гр Кормилица,шт.,8,62.5,88
,,,95610,Для дома/Салфетки,Салфетка для стекла,шт.,7,69,100
,,,111458,Напитки/Кофе/Какао/Сливки/Кофе,Амбассадор платинум 95гр,шт.,5,275,572
,,,1118773,Игрушки,Кукла набор,шт.,2,2200,2900
,,,104039,Детские товары,Подгузники Молфикс 3-ка 68шт,шт.,1,590,840
,,,100527,Сладкое/Прочее/Готовый завтрак (Хлопья),Готовый завтрак 250гр Леонардо Мол,шт.,1,74.6,100
,,,1119273,Служебная группа,Биг бон говядина+гуляш 75 гр,шт.,57,25,35
,,,1119176,Для дома/Скотч/Изолента,Отвертка мастер маленькая,шт.,3,108.233333333333,135
,,,2000999844357,Химия/Для себя,Бритва женская Бик 3 сенс,шт.,3,522,625
,,,109031,Напитки/Соки,Жумек 473мл ж/б,шт.,11,150,185
,,,111454,весовые 1/Вафли вес1,Разрыхлитель теста М 10гр,шт.,7,6.39,13
,,,159,Весовые товары/Выпечка,Печенье Шале Обжорка без глазури 6мес (Альфа),кг,1.866,198,267
,,,111184,Продукты Питания/Павильное Питание,Батончик Клич банан 40гр,шт.,3,41.2083333333333,60
,,,109065,Детские товары,Молочный Коктель 0.2л Фруто Няня,шт.,4,59.39,78
,,,98038,Напитки/Вода,Архыз 0.5л,шт.,10,33.99,50
,,,98204,Детские товары,Малютка 1 1200гр,шт.,1,1100,1320
,,,1212,Напитки/Кофе/Какао/Сливки/Кофе,Кофе Якобс монарх 190 гр,шт.,7,520,518
,,,104159,Служебная группа,Мекка Кола 0.33жб,шт.,12,50,75
,,,2000999844129,Для дома,Формочки 20 см,шт.,1,280,400
,,,99994,Сладкое/Прочее/Милка,Плитка Милка 100гр Чипс Эхой,шт.,8,103,145
,,,104395,Продукты Питания/Крупы/Макароны/Хлопья,Макароны Марва 900гр Улитка,шт.,4,48,70
,,,899,Одежда/Носки/Гольфы,Лакомка Выпечка Сахара Альфа,кг,0.740000000000001,279,365
,,,801,Весовые товары/Конфеты,Конфеты Ярмила с Бисквитом,кг,3.128,281.56,337
,,,104049,Сладкое/Прочее/Милка,Плитка Милка Бабли Капучино 87гр,шт.,16,98,140
,,,102350,Продукты Питания/Консервы/Мясо,Икра Трески 135гр За Родину,шт.,6,81.63,115
,,,602,Весовые товары/Мясное,Колбаса вар Особая Молочная Башаров,кг,0.012,350.997942386831,562
,,,1152,Продукты Питания/Молочка/Йогурт/Пудинг,Йогурт Фруттис 290гр 5пр,шт.,11,75,100
,,,1118385,Игрушки,Круг для моря 5,шт.,1,99,200
,,,100499,Напитки/Чай/Кисель,Масло ссср 85.5 пр ( Мороз ),шт.,3,204.6,298
,,,1118967,Напитки,Эвервесс 1 л,шт.,15,100,135
,,,109784,Напитки/Соки,Сок Черноголовка,шт.,36,62.3611111111111,85
,,,98726,Напитки/Вода,Минералка Серноводская 0.5л стекло,шт.,43,50.82,75
,,,102997,Семечки,Семечки Джин Соль 140гр,шт.,20,78.3,105
,,,1119327,Химия/Машинный отдел,Тряпка микрофибра 38/77,шт.,3,150,190
,,,108811,Сладкое/Прочее,Круассаны 240гр Ванелли,шт.,2,250,300
,,,2000999844029,Игрушки/Куклы,Куклы с набором,шт.,2,1500,2850
,,,1118860,Служебная группа,Пакеты семечки,шт.,9,100,140
,,,1119237,Продукты Питания/Морепродукты,Килька барс 250 гр,шт.,12,84.14,110
,,,1117196,Напитки/Соки,Чипсы баст 70 гр сыр,шт.,1,122,150
,,,103859,Химия/Для себя/Салфетки влажные,Влажные салфетки Аура 15шт для всей семьи,шт.,17,12,20
,,,1119153,Напитки/Вода,Сок J 7 вишневый 0.2 мл,шт.,15,26.0033333333333,40
,,,111400,Детские товары,Подгузники Хаггис мальчикам 7 40шт,шт.,2,1100,1320
,,,191,Весовые товары/Выпечка,Печенье Шоколадное с отделнкой в глазури 3.2 кг 6 мес,кг,6.344,218.75,295
,,,1119523,Служебная группа,Колготки детские белино лове,шт.,6,195,350
,,,2000999844456,Для дома/Салфетки,Влажные салфетки для белой обуви 15 шт,шт.,15,36,
,,,94776,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Ядрица гречневая 900гр МИСТРАЛЬ,шт.,2,91.86,127
,,,1118583,Сладкое/Мороженое,Мороженое сочи 2,шт.,10,16,28
,,,98234,Сладкое/Мармелад/Драже/Карамель/М энд Мс/Скитлс/ и тп,МэндМс 80гр с арахисом,шт.,20,85,115
,,,1118351,Служебная группа,Духи женские Армани 100 мл,шт.,3,299,2350
,,,107014,Химия/Бытовая химия,Ленор Гранулы 210гр,шт.,8,455,546
,,,1119169,Для дома/Скотч/Изолента,Набор отверок 16 шт,шт.,1,129.41,170
,,,1119291,Продукты Питания/Молочка/Йогурт/Пудинг,Актибио без сахара манго 130 гр,шт.,1,39.99,65
,,,1118889,Электроника/Гаджеты,Блок СС75 А,шт.,1,750,1100
,,,1119490,Химия/Для себя/Шампунь,Пинцет802-42,шт.,5,80,130
,,,1118895,Электроника/Гаджеты,Наушники м 110,шт.,3,170,250
,,,1118764,Игрушки,Тесла на пульте,шт.,2,1200,1865
,,,165,Весовые товары/Выпечка,Печенье сендвич Банг Банг 6мес (Альфа) 162дн,кг,4.518,368.5,445
,,,97692,Продукты Питания/Полуфабрикаты,Картошка фри 2.5кг,шт.,1,578,693
,,,102254,Одежда/Носки/Гольфы,Мужские носки Адидас Найк БД - 012 -2,шт.,20,42,100
,,,1118776,Игрушки/Машинки,Камаз на пульте,шт.,2,810,1250
,,,105850,Химия/Для себя/Бритвы,Станки биг 5шт,шт.,34,88,120
,,,1119493,Химия/Для себя/Шампунь,Пинцет зингер 34,шт.,5,78,117
,,,110986,Напитки/Соки/Энергетик,Ред Бул Китай 0.335мл 24шт,шт.,22,147,185
,,,98714,Сушеные Рыба/Говядина,Мясные снеки 45гр ХасПродукт,шт.,1,197,240
,,,99901,Напитки/Соки,Кока Кола 0.25л ЖБ,шт.,3,39.5833333333333,60
,,,1117431,Служебная группа,Стакан бумажный цветной 250 мл,шт.,71,5.2,10
,,,2000999844322,Детские товары,Травяной набор мята 1000мл,шт.,1,422,507
,,,1118992,ДЛЯ КАССЫ/Посуда,Сушилка 1167,шт.,4,220,350
,,,96450,Детские товары,Подгузники Памперс джамбо пак 1 94шт,шт.,3,1130,1350
,,,1119336,Химия/Машинный отдел,Зубочистки мятные,шт.,12,45,65
,,,108909,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Крупа Перловая 700гр Исмаил,шт.,5,39,55
,,,512,Весовые товары/Вафли вес,Вафли Пранзо Альфа,кг,3,222.666666666667,
,,,1119124,Детские товары,Симилак антирефлюкс 375гр,шт.,1,1180,1416
,,,96169,Продукты Питания/Молочка,Сыр Горянка 800гр 40пр,шт.,8,430,510
,,,1119514,Служебная группа,Носки женские 6081,шт.,20,55,100
,,,1168,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр творожный 400гр ECOMILK,шт.,6,235,282
,,,98718,Чипсы/Лейс,Лейс 140гр Рифленые Паприка,шт.,117,115.79,150
,,,1118206,Служебная группа,Эпилятор км 1207,шт.,5,549,950
,,,1119129,Электроника/Гаджеты,Переходник фх29,шт.,4,300,450
,,,2000999844286,Детские товары,Гель для стирки Юкосан 1 л хлопок,шт.,2,300,375
,,,1118982,Продукты Питания/Консервы/Мясо,Килька доброфлот 240 гр,шт.,5,104.26,135
,,,1119301,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Красная фасоль бондюэль 360 гр,шт.,1,129.28,170
,,,1118586,Напитки/Кофе/Какао/Сливки,Несквик какао 13.5 гр,шт.,1,44,58
,,,658,Весовые товары/Драже,Филе Тилапии,кг,1.036,610,762
,,,110571,весовые 1/Вафли вес1,Печенье Нутелла бисквит 304гр,шт.,2,445,535
,,,96152,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Батончик Пикник 52гр,шт.,27,54.2857142857143,75
,,,1119004,ДЛЯ КАССЫ/Посуда,Весы напольные,шт.,2,450,920
,,,1117481,Напитки/Кофе/Какао/Сливки/Кофе,Маккофе 3 в 1 22 гр,шт.,21,14.38,20
,,,2000999844344,Сладкое/Мороженое,Экзо манго-малина 520 гр,шт.,1,400,485
,,,1119163,Напитки/Соки,Квас сулак жб 0.5 мл,шт.,12,27.0833333333333,65
,,,1117192,Сладкое/Шоколадные плитки/пасты,Чоко пай 4 шт 112 гр,шт.,20,49.45,75
,,,1118936,Для дома,Набор для специий,шт.,1,1050,1300
,,,1118905,Напитки/Соки,Монти дью 1 л,шт.,8,91.6666666666667,125
,,,100274,Чипсы,Чипсы Корнерсы 50гр Нежный Сыр,шт.,3,41.59,65
,,,1119134,Игрушки/Пистолеты/Мячи,Домино в коробке,шт.,1,400,480
,,,1117866,Электроника,Батарейки мах трофи,шт.,1,110,145
,,,2000999843947,Игрушки,Пистолет Узи 2019,шт.,6,100,170
,,,1119401,яя Подарки,Конфета ферреро роше 125 гр,шт.,3,600,720
,,,1119233,Химия/Для себя/Мыло,Мыло доха 80 гр,шт.,3,54,80
,,,101841,Напитки/Вода,Серноводская 1.5л,шт.,288,35.81,50
,,,107256,Временно,Заварные в Белой глазури 0.7кг 001,шт.,1,315,385
,,,94834,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис Исмаил 700 гр,шт.,1,63,88
,,,1118528,Сладкое/Конфеты/Печенья упаковки,Батончик гранола чернослив,шт.,8,41.06,60
,,,101288,Посуда,Боржоми 0.5 л,шт.,251,94.1666666666667,120
,,,98976,Продукты Питания/Молочка/Йогурт/Пудинг,Пудинг Эрмигурт 100гр,шт.,2,44.375,54
,,,111222,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Сахар Кусковой ассорти 750гр Исмаил,шт.,4,127,160
,,,109709,Фрукты/Сухофрукты,Фисташки 80гр Белка в лотке,шт.,10,120,150
,,,353,Весовые товары/Выпечка,Сухари молочные Агеевский 6мес (Альфа),кг,1.032,329,415
,,,1118028,Весовые товары/Выпечка,печенье песочное Ассорти1,шт.,1,242,310
,,,104036,Детские товары,Каша Фруто няня 200гр Мультизлаковая с кусочками,шт.,10,130,165
,,,1119541,Сладкое/Прочее/Милка,Плитка Аленка классический 100 гр,шт.,6,110,138
,,,2000999844249,Детские товары,Бюбхен для младенцев 200 мл,шт.,3,331,398
,,,2000999844158,Продукты Питания/Консервы/Мясо,Скумбрия натуральная 250 гр,шт.,5,145.68,177
,,,2000999844304,Детские товары,Бутылочка под авент 90 мл,шт.,2,190,260
,,,1117819,Напитки/Соки,Грушевая роща 1.5 л,шт.,8,45,65
,,,1118837,Напитки/Соки,J7 гранат 0.3мл,шт.,3,103.783333333333,140
,,,97528,Продукты Питания/Быстрое питание,Биг бон пюре 60гр,шт.,29,54.17,82
,,,2000999844240,Детские товары,Детский шампунь Лилу 300 мл,шт.,5,290,348
,,,1119712,ДЛЯ КАССЫ/Химия,Спрей пятновыводитель Амвэй 400 мл,шт.,1,800,962
,,,2000999844031,Детские товары,Фруто няня 5 злаков 200 мл,шт.,15,35.19,58
,,,104503,Напитки/Соки,Акапелла 0.5 Апельсин,шт.,1,83.46,110
,,,2000999844243,Детские товары,Шампунь мое солнышко баю 200 мл,шт.,3,106,147
,,,2000999844404,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Крупа перловая Мистраль 900гр,шт.,4,73.98,0
,,,104869,Сушеные Рыба/Говядина,Сыр Спагетти С приправой 30гр,шт.,1,26,40
,,,2000999844135,Напитки/Кофе/Какао/Сливки/Кофе,Кофе в зернах Моменто 1 кг,шт.,1,847.99,1487
,,,99106,Жевачка,Мамба 26.5г,шт.,9,19,30
,,,2000999844092,Детские товары,Погремушки в наборе,шт.,4,230,297
,,,1116660,Продукты Питания/Консервы/Зелень,Сахар 1 кг Корона Кавказа,шт.,6,81,107
,,,2000999844161,Продукты Питания/Консервы/Мясо,Сельдь в Т/С 185гр За Родину ключ с лимоном,шт.,5,106.05,140
,,,1119342,Химия/Для себя/Крем,Крем для рук защитный,шт.,2,86.04,115
,,,1119579,Для дома,Деньги,шт.,845,0.375,5
,,,95191,Сладкое/Прочее/Милка,Милка Чоко Му/Ков 200 гр,шт.,6,180,258
,,,1115651,Напитки/Соки,Икра Бутербродная с сыром,шт.,16,55,80
,,,103585,Сладкое/Домашняя выпечка,Абрикосовая каша Азбука куса,шт.,7,105,135
,,,1119452,Продукты Питания/Быстрое питание,Доширак 90 гр грибы,шт.,16,48.0791666666667,63
,,,104490,Служебная группа,Масло Корона Кавказа 5л,шт.,6,570,684
,,,1115656,Напитки/Соки,Сельдь По царски в масле 400гр,шт.,4,257,309
,,,1383,Сладкое/Прочее/Киндер,Киндер сюрприз,шт.,169,99.5,125
,,,832,Весовые товары/Мясное,Горбуша филе профторг,кг,10,660,
,,,1099,Весовые товары/Драже,Халва зебра Альфа,кг,4.546,198,
,,,1119420,Одежда/Носки/Гольфы,Носки мужские ф592,шт.,40,25,100
,,,2000999844012,Весовые товары/Конфеты,Печенье Аленка с витаминами 190 гр,шт.,6,110.5,150
,,,95002,Чипсы/Лейс,Лейс 240гр,шт.,3,265,330
,,,1119029,ДЛЯ КАССЫ/Посуда,Совок Элит Гад,шт.,3,21,80
,,,98882,Напитки/Чай/Кисель,Чай Джамал 200гр Черный,шт.,2,310,385
,,,1119001,ДЛЯ КАССЫ/Посуда,Кружка 1 л Рада,шт.,8,46,90
,,,100747,Сладкое/Мармелад/Драже/Карамель/М энд Мс/Скитлс/ и тп,Мальтизерс 68гр,шт.,1,150,180
,,,109490,Детские товары,Сок Агуша 0.2л,шт.,14,46.1111111111111,55
,,,2000999844145,Весовые товары/Конфеты,Улькер Халлей сэндвич 196 гр,шт.,4,173,213
,,,1119190,Канцтовары,Дневник стиль 5-11 кл,шт.,3,80,135
,,,901,Весовые товары/Мясное,Ветчина из индейки Абуев,кг,0.985,455.00518134715,555
,,,96653,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр плавленый 200гр Виола,шт.,8,130,156
,,,1119471,Напитки/Соки,Нектар Баринофф 1л манго,шт.,6,177.42,220
,,,411,Весовые товары/Конфеты,Конфеты Доярушка,кг,4.308,338.55,415
,,,1117894,Сладкое/Мороженое,Мороженое хабиби соленая карамель,шт.,22,85,110
,,,104465,Служебная группа,Кисломолочный Газ Айран 0.5пр 1л,шт.,8,49.85,80
,,,1117120,Сладкое/Мармелад/Драже/Карамель,Помада леденец,шт.,23,25.2,40
,,,1118575,Напитки/Соки,Бальзам  для губ тюбик,шт.,21,36,120
,,,46,Фрукты/Овощи/Зелень/Овощи,Баклажан,кг,4.708,48.780487804878,85
,,,102216,Напитки/Вода,Минералка Доктор Борменталь 0.45л,шт.,45,57.5,85
,,,2000999844197,Детские товары,Детский крем череда 400 мл наша мама,шт.,1,275,336
,,,1119256,Кошачьи товары,Ошейник для кошек,шт.,1,250,300
,,,1119580,Посуда,Закрутка мзп1,шт.,4,830,985
,,,1119070,Канцтовары,Калькулятор 9916,шт.,2,450,585
,,,1118577,Детские товары,симилак голд 4,шт.,1,1300,1560
,,,1119353,Напитки/Соки,Сок добрый кола ледяной лимон 1 л,шт.,5,68.9325,95
,,,1118593,Продукты Питания/Молочка/Йогурт/Пудинг,Плитка Альпен Голд кокос 75 гр пористый,шт.,11,79.99,120
,,,101481,Для дома/Салфетки,Бумага Папия цветы бали,шт.,12,88.3,115
,,,106562,Продукты Питания/Молочка/Сметана/Творог,Творог классичечкий Савушкин 180гр 1пр,шт.,2,94.8,120
,,,1118485,Сухарики,Гренки крутой окер томат 65 гр,шт.,5,29,45
,,,1118310,Напитки/Соки/Энергетик,Пиво безалкогольное Жатецкий гусь 0.45 мл,шт.,142,36.45,120
,,,99197,Сладкое/Мармелад/Драже/Карамель/М энд Мс/Скитлс/ и тп,Мальтизерс 37гр,шт.,23,75,95
,,,1119714,ДЛЯ КАССЫ/Химия,Детские щетки Амвэй,шт.,4,170,207
,,,1119476,Сушеные Рыба/Говядина,Карамель на палочке петушок,шт.,37,6.75,20
,,,340,Весовые товары/Мясное,АМ Рулет Куриный,кг,0.0149999999999999,837.244444444444,1004
,,,1119061,Канцтовары,Блок для записей,шт.,1,179,235
,,,1339,Сладкое/Шоколадные плитки/пасты,Шоколад молочный 90гр FERRERO ROCHER,шт.,8,240,276
,,,965,Весовые товары/Мясное,Колбаски гриль куриные,кг,4.844,590,708
,,,295,Весовые товары/Мясное,ММ Султанская Вареная (0.3),кг,0.661999999999999,360,432
,,,105666,весовые 1/Мясное1,Овсянка Царская 0.7г  (Сладость),шт.,1,421.43,497
,,,1119775,Продукты Питания/Специи,Сахарная пудра 150 гр,шт.,15,40,
,,,107450,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр плавленый Бургер чеддер ХХЛ 400гр,шт.,3,252.21,312
,,,1119018,ДЛЯ КАССЫ/Посуда,Чайник эмаль 5 л,шт.,2,1000,1850
,,,1118631,Химия/Бытовая химия,Натурин раптор,шт.,1,250,320
,,,1117857,Продукты Питания/Быстрое питание,Роллтон пюре курица 40 гр,шт.,37,33.3333333333333,47
,,,108359,Сладкое/Печенье/Пряники,Вафельный Сэндвич 168гр Яшкино,шт.,3,85.1,108
,,,1117145,Напитки/Чай/Кисель,Мороженое марс,шт.,9,103.5,115
,,,1119330,Химия/Машинный отдел,Тряпка зайчата мал,шт.,3,25,50
,,,1115603,Сладкое/Прочее/Милка,Плитка Милка 80гр Цельный фундук,шт.,7,100,145
,,,96605,Посуда,Аленка вафли,шт.,14,25.9525,37
,,,1119389,Фрукты/Сухофрукты,Пряники нафаня 400 гр мир сладостей,шт.,4,81.9,106
,,,102469,Напитки/Вода,Вода Горная 0.45л стекло,шт.,18,37.85,55
,,,1118911,Напитки/Соки,Булочки с кунжутом 4 шт,шт.,11,267,305
,,,2000999844380,Химия/Для себя,Зажигалка панда простая,шт.,48,28,50
,,,1115715,Продукты Питания/Мука/Сахар/Соль/Крахмал,Мука Экстра 2кг MAKFA,шт.,30,116.666666666667,143
,,,1117258,Сладкое/Батончики/бисквиты/Батончики/Пирожные,Батончик вафел ролл твиккс,шт.,5,40,57
,,,105795,Служебная группа,Фисташки Экофиста 250гр,шт.,1,460,552
,,,2000999844446,Семечки,Мактеа с малиной 16 гр,шт.,60,10.73,
,,,427,Весовые товары/Молочка весовая,Масло сливочное Милково красное деш,кг,0.857,720,875
,,,1119089,Электроника,Кабель конектор,шт.,2,150,200
,,,1117084,Служебная группа,Кофе тока бика 25 гр,шт.,21,13.75,25
,,,1116952,Игрушки/Машинки,Буханка уаз мини,шт.,2,685,985
,,,1116175,Сигареты,Винстон Х стайл голд,шт.,1,213,235
,,,2000999843984,ДЛЯ КАССЫ/Аксессуары,Кабель Х-113,шт.,3,190,350
,,,1119015,ДЛЯ КАССЫ/Посуда,Набор банок 3 шт,шт.,2,265,435
,,,98072,Сухарики,Сухарики 2 крошки 40гр,шт.,8,33.3333333333333,40
,,,1118916,яя Подарки,Ваза интерьерная,шт.,1,300,650
,,,1118622,Химия/Бытовая химия,АВС средство для посуды 500 гр,шт.,1,84.5,110
,,,1118664,Сладкое/Конфеты/Печенья упаковки,Печенье Любятово традиционное 156 гр,шт.,5,43.79,85
,,,106097,Напитки/Соки,сады кубани 0.2л мультифрукт,шт.,94,20.75,30
,,,1116485,Напитки/Соки,Добрый Кола 1 л киви виноград,шт.,14,68.9325,100
,,,95209,Напитки/Вода,Горная Спорт со вкусом 0.6л,шт.,127,32.04,50
,,,1119601,Химия/Для себя,Пемза маленькая,шт.,7,20,40
,,,1118932,Продукты Питания/Специи,Корица молотая 30 гр,шт.,6,45,65
,,,1116702,Химия/Бытовая химия,АВС средство для посуды 750 мл,шт.,9,110.5,135
,,,108554,Фрукты/Сухофрукты,Чипсы Банан 180гр Аль Ихляс,шт.,7,105,145
,,,1117204,Напитки/Соки,Чипсы баст 160 гр сметана,шт.,2,174.29,245
,,,109059,Продукты Питания/Молочка/Йогурт/Пудинг,Актуаль 310гр,шт.,2,42.12,55
,,,456,Весовые товары/Выпечка,Печенье Юбилей кубани в глазури Кузнецов 6мес (Альфа) 166дн,кг,5.558,228,298
,,,759,Весовые товары/Конфеты,Конфеты Карамель Лакомка ассорти,кг,3.544,188,245
,,,660,Весовые товары/Мясное,Филе копченое Абуев,кг,0.00400000000000027,727.997496871089,995
,,,1119548,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Чай Калмыцкий 200гр,шт.,5,125,153
,,,1119699,Детские товары,Полка с Кораном,шт.,1,3500,4350
,,,104911,Весовые товары/Конфеты,Сыр Плавленный Виола 400гр,шт.,5,170.56,205
,,,1118547,Напитки/Соки,Кока кола 330 мл ориджинал,шт.,1,82,107
,,,27,Фрукты/Овощи/Зелень/Фрукты/Ягоды,Питахайя,кг,6.88,450,557
,,,2000999844367,Химия/Для себя,Сильвер дезодорант для обуви,шт.,6,340,408
,,,1119027,ДЛЯ КАССЫ/Посуда,Масленк магнум 487 арт,шт.,1,510,820
,,,1118879,Химия/Бытовая химия,Зубная щетка единорог,шт.,1,172.67,210
,,,106232,Электроника,Батарейки Камелион А23,шт.,2,100,140
,,,1119618,Химия/Для себя,Лего кубики в красной сумки,шт.,1,1000,1525
,,,110628,Напитки/Соки,Стом 0.5л Вишня,шт.,20,80.85,105
,,,95012,Сладкое/Прочее/Кукурузные палочки/Поп Корн,Попкорн сливочный 200гр ВКУСНО МАЙ,шт.,11,80,110
,,,99314,Электроника,Батарейки Дюраселл АА 4,шт.,7,125,165
,,,1117566,Напитки/Соки/Энергетик,Энергетик болд жб 0.5 мл,шт.,23,96.34,125
,,,103742,Химия/Для себя/Салфетки влажные,Влажные салфетки Докса 120шт Романс,шт.,9,123,150
,,,100517,Продукты Питания/Молочка/Молоко/Кефир/Сливки,Молоко Дарман 900гр 2.5пр бутылка,шт.,7,113,138
