Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,2000999843958,Химия/Для себя,Лего в мешке,шт.,1,420,650
,,,102441,Продукты Питания/Молочка/Йогурт/Пудинг,Молочный коктейль 910мл Чудо,шт.,9,159.99,230
,,,468,Весовые товары/Выпечка,Пряники с ароматом топленого молока 3мес Агеевские (Альфа) 71дн,кг,2.108,250.857142857143,335
,,,100011,Сладкое/Прочее/Милка,Плитка Милка МММакс 300гр Орео,шт.,4,335,420
,,,1115549,Продукты Питания/Консервы/Мясо,Иран цветной сахар,шт.,3,85,110
,,,2000999844264,Детские товары,Ватные палочки кидс 50 шт,шт.,4,75,107
,,,1119131,Продукты Питания/Павильное Питание,БигБабол яблоко,шт.,3,28.7279166666667,40
,,,109152,Сладкое/Домашняя выпечка,Пончики Седа,шт.,12,55,95
,,,273,Весовые товары/Мясное,Рыба Балык Копченная,кг,10.912,640,785
,,,2000999844283,Детские товары,Гель для посуды здоровье малышам 1 л,шт.,2,201,250
,,,99878,Напитки/Соки,Алоэ премиум 0.5л,шт.,3,41,60
,,,1118480,Продукты Питания/Консервы/Мясо,Паштет с чили и лимоном 95 гр,шт.,2,199.64,238
,,,1118426,Продукты Питания/Мука/Сахар/Соль/Крахмал,Соль морская пищевая 500гр,шт.,3,92,117
,,,95350,Напитки/Вода,Пилигрим 0.5л,шт.,8,37.5,55
,,,102167,Продукты Питания/Павильное Питание,печенье овсяное Петродиет на фруктозе 340гр,шт.,1,156.32,189
,,,2000999844151,Весовые товары/Мясное,Крылышки острые в панировки,шт.,1,1437.5,1725
,,,1119513,Служебная группа,Носки мужские 1274,шт.,8,44,90
,,,1118522,Напитки/Соки,Напиток сан пеллегрино 330 мл,шт.,1,98,125
,,,1367,Сладкое/Шоколадные плитки/пасты,Плитка мини Аленка  15 гр,шт.,54,17.8571428571429,25
,,,1118735,Игрушки/Пистолеты/Мячи,Зайчата резиновые,шт.,7,110,200
,,,1118861,Химия/Ароматная,Освежитель воздуха против домашних животных,шт.,3,137.28,170
,,,100799,Продукты Питания,лепешки тортильи деликадос пшеничные оригинальные,шт.,4,138.4,167
,,,1118812,Для дома,Веник и савок,шт.,2,580,720
,,,111427,Продукты Питания/Консервы/Мясо,Килька по гавайски 240гр,шт.,6,96.8,127
,,,1118606,Электроника,Прожектор 20 вт космос,шт.,5,245.458,320
,,,26268,Служебная группа,Черемша в банке,шт.,27,65,250
,,,104826,Чипсы,Сол Джамиля Огурцы 1л,шт.,8,280,350
,,,1115535,Продукты Питания/Консервы/Мясо,Тушенка говядина Премиум,шт.,4,326,395
,,,6504,ДЛЯ КАССЫ/Прочее.,Благодарю Упаковка,шт.,225,67.5,110
,,,103330,Напитки/Чай/Кисель,Чай Кежо 200гр 1001 ночь,шт.,14,300.6,360
,,,94837,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Цолода Булгур 1000гр,шт.,3,89,115
,,,1201,Напитки/Чай/Кисель,Чай Краснодарский черешковый 200 гр,шт.,7,68,100
,,,2005,Сладкое/Прочее/Милка,Плитка Милка МММакс 250гр Чоко Желли,шт.,3,345,415
,,,1118947,Продукты Питания/Консервы/Зелень,Маслины без косточки 300 мл,шт.,2,149.67,180
,,,698,Весовые товары/Выпечка,Рулетик с урюком САХАРА (МС),кг,0.872,302.333333333333,320
,,,111011,Сладкое/Домашняя выпечка,Орешки 350гр Альфия Нутелла,шт.,2,194.25,235
,,,97134,Сладкое/Домашняя выпечка,Улейки Азбука Вкуса,шт.,3,270,325
,,,1119574,Служебная группа,Газовая печка,шт.,2,650,950
,,,339,Весовые товары/Мясное,АМ Филе курицы,кг,0.0120000000000002,847.981481481482,1016
,,,454,Весовые товары/Мясное,МД Абуев Сосиски Мусульманские,кг,0.798,357,435
,,,110063,Напитки/Соки,Рани 0.24л ж/б,шт.,24,64.5833333333333,85
,,,1119377,Посуда/Средство для мытья посуды,Диффозур,шт.,2,350,850
,,,1119009,ДЛЯ КАССЫ/Посуда,Горшок Бейби 175,шт.,8,195,485
,,,1119242,Фрукты/Овощи/Зелень/Фрукты/Ягоды,Овощи для жарки Агама 410 гр,шт.,3,132.14,160
,,,97749,Продукты Питания/Молочка/Молоко/Кефир/Сливки,Кефир Дарман 900гр 2.5пр бут,шт.,15,125,150
,,,2000999844146,Чипсы,Чипсы намбы 70 гр (Вико),шт.,22,54.79,80
,,,105268,Сладкое/Конфеты/Печенья упаковки,Печенье Кокосовое 430г,шт.,5,99.66,125
,,,103586,Сладкое/Домашняя выпечка,Панчо Классический Азбука Вкуса,шт.,1,90,120
,,,103598,Продукты Питания/Молочка/Сыр/Копченый Сыр,Сыр косичка Белая 110гр Башаров,шт.,1,75,100
,,,1119372,Посуда,Стакан 1 шт,шт.,6,30,50
,,,1119719,Продукты Питания,Золотой стандарт 900гр,шт.,3,300,360
,,,1118695,Напитки/Соки,Зубная щетка колгейт зиг-заг,шт.,6,70,100
,,,1199,Напитки/Чай/Кисель,Чай Муслим черный 200 гр,шт.,5,300,360
,,,1119028,ДЛЯ КАССЫ/Посуда,Масленка магнум 486 арт,шт.,2,380,585
,,,837,Фрукты/Овощи/Зелень/Фрукты/Ягоды,Виноград Зеленый,кг,2.90000000000001,90,147
,,,745,Весовые товары/Мясное,Абуев Голень ЦБ (Лоток),кг,1.488,290,367
,,,1119512,Одежда/Носки/Гольфы,МУжские носки 8076,шт.,10,64,100
,,,98488,Продукты Питания/Молочка/Сметана/Творог,Сметана Простоквашино 300гр 25пр,шт.,4,123.99,185
,,,2000999844269,Детские товары,Мягкая губка кидс,шт.,1,173,225
,,,97683,Для дома/Салфетки,Бумажные полотенца Папия 4 рулона 3слоя,шт.,2,175.9975,226
,,,1119000,ДЛЯ КАССЫ/Посуда,Крышки полиэтиленовые,шт.,2,60,100
,,,95931,Детские товары,Подгузники Хелен харпер софт энд драй 5-ка,шт.,3,579,680
,,,1119720,Сладкое/Мороженое,Экзо мороженое драгонфрукт 520 гр,шт.,1,400,485
,,,95013,Сладкое/Прочее/Кукурузные палочки/Поп Корн,Попкорн с карелью 100гр БАБУШКИН ОГОРОД,шт.,24,39.5833333333333,60
,,,1118314,Детские товары,Вода кристальный родник 1.5 л,шт.,4,69.99,90
,,,1119219,Химия/Для себя/Мыло,Мыло китайское 200 гр,шт.,8,70,110
,,,103187,Сладкое/Конфеты/Печенья упаковки,Печенье песочное Ассорти 1кг Кондитериум,шт.,2,277,345
,,,107121,Напитки/Соки,Рич Ананас 1 л Тетра Пак,шт.,8,205.75,246
,,,96455,Напитки/Соки,Липтон 1.5л персик,шт.,18,141.666666666667,175
,,,105579,Служебная группа,Батончик Нут-Го Миндаль 34гр,шт.,23,25.07,40
,,,106588,Напитки/Чай/Кисель,Сироп Баринофф 1л,шт.,8,348.72,580
,,,110027,Сладкое/Мармелад/Драже/Карамель,Кренди Арахисовая Паста 170гр,шт.,3,57.5,83
,,,1115600,Детские товары,Подгузники Мерриес 5 38шт,шт.,1,1450,1740
,,,110071,Продукты Питания/Консервы/Мясо,БлэкБулл Джерки 45гр Куриные,шт.,6,115,140
,,,99951,Напитки/Соки,Сок Добрый Кока Кола 1л,шт.,20,61.2819444444444,95
,,,108050,Для дома/Салфетки,Бумажные полотенца Папиа 3сл 4рул,шт.,4,176.9,228
,,,1035,Весовые товары/Выпечка,Печенье Топленое Молоко Альфа,кг,5,144.666666666667,
,,,1116482,Химия/Для себя/Мыло,Жидкое Мыло хозяйственное 5 л Так Чисто,шт.,7,250,385
,,,1116208,Химия/Для себя,Лак для волос С косметик 360 мл,шт.,2,220.05,355
,,,2000999844150,Сладкое/Мармелад/Драже/Карамель,Яйцо шоколадное кироми 70 гр,шт.,2,262.333333333333,325
,,,1118377,Игрушки,Спасательный жилет 59663,шт.,2,261,450
,,,1118701,Семечки,Капучино долче вита 24 гр,шт.,20,14.65,20
,,,2000999844403,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Гречка Мистраль 2  кг,шт.,4,230.78,0
,,,111388,Продукты Питания/Молочка/Йогурт/Пудинг,Кетчуп Слабода чили 320гр,шт.,2,82.23,98
,,,1118965,Напитки/Чай/Кисель,Чай муслим фруктовый 36 п,шт.,3,270,325
,,,107559,Напитки/Вода,Минеральная Вода Нарзан 1.5л,шт.,2,87.8333333333333,115
,,,111342,Продукты Питания/Молочка/Сыр/Копченый Сыр,Икра Лососевая Струкурированная ж/б 120гр,шт.,2,180,216
,,,1119531,Сладкое/Мороженое,Мороженое эскимо кореновка,шт.,22,94,115
,,,1119260,Кошачьи товары,Лоток для кошек барсик,шт.,1,500,650
,,,1117414,Служебная группа,Следы,шт.,22,28,95
,,,1118518,Сладкое/Прочее/Турецкие сладости,Сэндвич печенье банан 280 гр,шт.,3,172,207
,,,1118722,Сладкое/Прочее/Милка,Милка лео 48 гр,шт.,1,85,110
