Unnamed: 0,Unnamed: 1,Unnamed: 2,Код,Группа,Наименование,Ед. изм.,Количество,Приходная цена,Розничная цена
,,,105772,Служебная группа,Хеллей Сэндвич 28гр Улькер,шт.,29,17.75,28
,,,102039,Детские товары,Малыш истринский 3 350гр,шт.,11,324.17,390
,,,97395,Напитки/Чай/Кисель,Чай Муслим 25пакетиков Эрл грей,шт.,16,96,122
,,,97908,Посуда/Средство для мытья посуды,Средство для мытья посуды 900гр АОС,шт.,5,125,170
,,,98968,Напитки/Чай/Кисель,Чай калмыкский 60 пакетиков ХАН ЧАЙ,шт.,22,660,792
,,,96536,Продукты Питания/Молочка/Йогурт/Пудинг,Фруттис вкусный перерыв 175гр 2.5пр,шт.,1,82.39,108
,,,1119304,Весовые товары/Конфеты,Аленка понч с вишней 150 гр,шт.,3,112.7,158
,,,1119735,Продукты Питания/Крупы/Макароны/Хлопья/Крупы,Рис корона кавказа 700 гр,шт.,5,65,88
,,,158,Весовые товары/Выпечка,Крекер Фигурный в Форме Игрушек КубКор (МС),кг,1.118,161.28,230
,,,106934,Химия/Для себя/Полость рта,Зубная паста Голгате МаксБлеск 100мл,шт.,4,179,220
,,,1119365,Продукты Питания/Консервы/Зелень,Бейсболка,шт.,28,163.7,700
,,,1119585,Посуда,Чайник 2157,шт.,4,200,550
,,,1119542,Сладкое/Прочее/Милка,Скитлс евро 109 гр,шт.,16,135,167
,,,1119248,Напитки/Соки,J7 Ассорти 0.97л т/пакет персик,шт.,15,149.615833333333,320
,,,98713,Сладкое/Прочее/Киндер,Киндер Буено 43гр вайт,шт.,45,77,100
,,,1116398,Посуда,Протеиновый десерт Кейк 50 гр тройной шоколад,шт.,23,104.4,135
,,,99399,Сладкое/Мармелад/Драже/Карамель/Мармелад,Мармелад Бебето 70гр,шт.,2,78.03,112
,,,1117974,Напитки/Соки/Энергетик,Витамикс 2 л,шт.,161,84,110
,,,1119524,Служебная группа,Колготки детские Белино со стразами,шт.,4,180,380
,,,2000999843939,Химия/Для себя,Мягкая кукла ушки,шт.,1,600,950
,,,1335,Напитки/Кофе/Какао/Сливки/Кофе,Кофе 3 в 1 50порций GOLDEN EAGLE,шт.,5,536,643
,,,95017,Сладкое/Печенье/Пряники,Сдобные палочки 308гр СНЕЖКА,шт.,13,136.363636363636,170
,,,1117609,Сладкое/Мармелад/Драже/Карамель/Мармелад,Мармелад в стакане,шт.,6,110,140
,,,1118524,Продукты Питания/Крупы/Макароны/Хлопья,Лапша булдак со вкусом сыра,шт.,6,139,160
,,,99404,Жевачка,Жевачка ЧЧ БигБабол 21гр,шт.,1,28.7279166666667,45
,,,105755,Служебная группа,Крыло Замороженная 1кг,шт.,1,304,435
,,,1119090,Для дома,Горелка газовая 1,шт.,5,170,230
,,,774,Весовые товары/Мясное,Колбаски с сыром Абуев,кг,0.961,559.006622516556,678
,,,1119701,Детские товары,Набор посуды,шт.,2,550,665
,,,1118918,Фрукты/Овощи/Зелень/Овощи,Мартин апельсин 1.5 л,шт.,1,122,147
,,,95419,Сладкое/Вафли/Зефир,Вафли 300гр ЯШКИНО,шт.,12,85.15,120
,,,1117822,Продукты Питания/Мука/Сахар/Соль/Крахмал/Сахар,Сахар корона кавказа 700 гр,шт.,8,59,85
,,,2000999844221,Детские товары,Пенка-шампунь мое солнышко 400 мл,шт.,3,193,237
,,,1117992,Сладкое/Мороженое,Мороженое волшебный дубай,шт.,4,105,145
,,,96409,Продукты Питания/Крупы/Макароны/Хлопья,Фунчоза 400гр СЕН СОЙ,шт.,2,230,276
,,,371,Весовые товары/Выпечка,Кумк колбаса круг чеченская,кг,19.557,530,645
,,,1118127,Химия/Для себя,Увлажняющий крем 4в1 зеленый,шт.,20,130,325
,,,2000999843988,ДЛЯ КАССЫ/Аксессуары,Кабель Х-902,шт.,5,180,350
,,,2000999844328,Детские товары,Сказка нагрудник 3 шт -1,шт.,1,175,247
,,,107448,Для дома/Салфетки,Салфетки Бумажные Жасмин 46л,шт.,30,20,30
,,,99434,Химия/Для себя/Бритвы,Бритва Бик метал лента,шт.,2,26.4166666666667,40
,,,94910,Сладкое/Вафли/Зефир,Мягкий десерт с суфле 288гр ДАРЛЕТТО,шт.,4,142.89,175
,,,1119645,Игрушки,Кукла русалка большая,шт.,1,2200,3750
,,,1118971,ДЛЯ КАССЫ/Леденцы,Сырок кубанский молочник 100 гр,шт.,2,63.99,85
,,,99791,Напитки/Соки,Сок Добрый Лимон - Лайм 0.33 ЖБ,шт.,3,53.0833333333333,75
,,,1118708,Электроника/Гаджеты,Наушники фаиз 2,шт.,1,800,1250
,,,1119126,Сладкое/Мармелад/Драже/Карамель/Мармелад,Желе 20 гр,шт.,50,13,20
